protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000480987,0,0,0,0,0.13164557,0.08411215,0.103896104,0.050541516,0.107142857,0,0.055837563,0.1,0.026086957,0.15490316,0.18374817,0.185769954,0.139163059,0.149164678,0.112414467,0.152662281,0.174942704,0.137449581,0.050212013,0.054675365,0.036215482,0.077933847,0.072463768,0.040697674,0.034813926,0.029239766,0.014814815,0.029006475,0.039709813,0.053123463,0.041842179,0.03526971,0.094339623,0.039712791,0.052069426,0.052662722,1,0.166692171,0.920232846,0.000119732,0.000923439,0.00052587,0.000233986,1,1,1,0,0,0,0
9606.ENSP00000340736,0,0,0,0,0.004556962,0.009345794,0,0,0,0,0.005076142,0,0,0.008303971,0.010335027,0.008599839,0.007561328,0.007955449,0.005865103,0.005957552,0.009931245,0.003412969,0,0,0,0,0,0,0,0,0,0.00289359,0,0.001475652,0.00084246,0,0,0,0,0,1,0.00854593,0.47644303,6.79E-06,0.000111233,4.71E-05,1.53E-05,1,1,1,0,0,0,0
9606.ENSP00000231948,0,0.166666667,0,0,0.095189873,0.112149533,0.103896104,0.061371841,0.035714286,0.105263158,0.106598985,0,0.008695652,0.09305657,0.095685126,0.107833916,0.083867244,0.082736675,0.070381232,0.078192876,0.097020626,0.117592305,0.054315,0.039453246,0.042553191,0.077933847,0.060869565,0.052325581,0.052821128,0.064327485,0.022222222,0.083596521,0.067201222,0.104771274,0.0196574,0.01659751,0.009433962,0.053275419,0.020026702,0.037278107,1,0.109183443,0.961325496,0.000794913,0.000794301,0.000582892,0.000370781,1,1,0,0,0,0,0
9606.ENSP00000339585,0,0,0,0,0.003037975,0.009345794,0,0,0,0,0,0,0,0.00454358,0.004047886,0.003695243,0.001558442,0.002386635,0,0.000372347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004270598,0.22797855,8.83E-07,1.41E-05,5.81E-06,1.86E-06,1,1,1,0,0,0,0
9606.ENSP00000478877,0,0.166666667,0,0,0.131139241,0.08411215,0.038961039,0.014440433,0.035714286,0,0,0,0,0.139416642,0.111833606,0.114216608,0.039134199,0.04494829,0.026392962,0.059637582,0.0710466,0.063605337,0.010021049,0.00621311,0.006337709,0.008835523,0.004347826,0.002906977,0.00240096,0,0,0.001676165,0.001909126,0.000491884,0.00056164,0,0,0.002925273,0,0,1,0.133472374,0.94790096,0.001085776,0.000778566,0.000626646,0.000432289,1,1,0,0,0,0,0
9606.ENSP00000435926,0,0.166666667,0,0,0.049113924,0.074766355,0.064935065,0.068592058,0.142857143,0.052631579,0,0,0,0.075699805,0.091551115,0.110185434,0.074458874,0.070405728,0.071358749,0.035993546,0.029029794,0.04623022,0.091607944,0.091954023,0.089180625,0.073629361,0.075362319,0.072674419,0.06122449,0.029239766,0.035185185,0,0,0,0,0,0,0,0,0,1,0.08690597,0.754530057,0.005102041,0.001505674,0.00161205,0.001396245,1,1,0,0,0,0,0
9606.ENSP00000443985,0,0,0,0,0.036455696,0.046728972,0.025974026,0.018050542,0,0.052631579,0.015228426,0,0,0.04604354,0.054301955,0.056638001,0.043232323,0.055688146,0.040078201,0.016321211,0.013750955,0.013031337,0.018242274,0.021745884,0.013580806,0.050974173,0.043478261,0.037790698,0.030012005,0.046783626,0.018518519,0.016849869,0.024436808,0.01377275,0.01656838,0.029045643,0.028301887,0.001418314,0,0.000591716,1,0.049972471,0.744348024,5.00E-05,0.000399504,0.000221728,9.70E-05,1,1,1,0,0,0,0
9606.ENSP00000252998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9606.ENSP00000262244,0,0,0,0,0.01164557,0,0.012987013,0.003610108,0,0,0,0,0,0.01322558,0.010851778,0.012698199,0.018528139,0.016706444,0.020527859,0.008626039,0.005347594,0.00217189,0.009060126,0.005591799,0.012675419,0.006116901,0.007246377,0,0.0030012,0.005847953,0,0,0,0,0,0,0,0,0,0,1,0.014187474,0.458636904,3.70E-05,0.000109322,5.84E-05,2.50E-05,1,1,1,0,0,0,0
9606.ENSP00000266604,0,0,0,0,0.037468354,0.009345794,0,0.007220217,0,0,0,0,0,0.057614114,0.039100853,0.027008869,0.01021645,0.011137629,0.005865103,0.005647263,0.001527884,0.00031027,0.004865623,0.006523765,0.001810774,0.002265519,0.001449275,0.002906977,0.0030012,0,0,0,0,0,0,0,0,0,0,0,1,0.053490548,0.7976016,2.34E-05,0.000181739,9.60E-05,4.01E-05,1,1,1,0,0,0,0
