protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,label
9606.ENSP00000360268,0,0,0,0,0.116959064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.074194635,0.006973501,0.0,0.280193237,0.016666667,0.0,0.021922428,0.0,0.0,0.072553046,0.0,0.0,0.058139535,0.037037037,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.081680529,0.238287075,4.33e-05,1,1,1,1,0,0,0.000120314,9.47e-05,5.35e-05,0
9606.ENSP00000360268,0,0,0,0,0.040935673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095633629,0.184100418,0.005231037,0.082125604,0.0,0.0,0.013490725,0.04,0.0,0.088295688,0.048192771,0.0,0.081395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.107645553,0.2362624,5.96e-05,1,1,1,1,0,0,8.55e-05,5.59e-05,2.77e-05,0
9606.ENSP00000360268,0,0,0,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.04865866,0.0013947,0.006102877,0.082125604,0.016666667,0.0,0.003372681,0.04,0.0,0.03559206,0.0,0.0,0.069767442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.05091704,0.2216192,8.33e-06,1,1,1,1,0,0,5.52e-05,2.38e-05,7.37e-06,0
9606.ENSP00000360268,0,0,0,0,0.005847953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05107195,0.0,0.007846556,0.082125604,0.0,0.0,0.010118044,0.0,0.0,0.052703628,0.0,0.0,0.046511628,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.054649179,0.2314752,2.31e-06,1,1,1,1,0,0,5.47e-05,2.31e-05,6.83e-06,0
9606.ENSP00000360268,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024750253,0.0,0.007846556,0.033816425,0.0,0.0,0.0,0.0,0.0,0.02532512,0.0,0.0,0.034883721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.026498187,0.1976832,2.8e-06,1,1,1,1,1,0,5.39e-05,2.21e-05,6.31e-06,0
9606.ENSP00000360268,0,0,0,0,0.01754386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067740487,0.0,0.02179599,0.033816425,0.0,0.052631579,0.005059022,0.0,0.0,0.041067762,0.0,0.019704433,0.081395349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.07021753,0.2810368,3.8e-05,1,1,1,1,0,0,6.96e-05,3.85e-05,1.64e-05,0
9606.ENSP00000360268,0,0,0,0,0.040935673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112526658,0.146443515,0.001743679,0.062801932,0.083333333,0.0,0.003372681,0.36,0.0,0.097193703,0.036144578,0.0,0.034883721,0.037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.122627426,0.18583488,2.75e-05,1,1,1,1,0,0,7.2e-05,4.01e-05,1.68e-05,0
9606.ENSP00000360268,0,0,0,0,0.099415205,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.198507128,0.016736402,0.014821273,0.260869565,0.0,0.0,0.020236088,0.0,0.0,0.1724846,0.0,0.0,0.081395349,0.0,0.0,0.032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.208626573,0.2700544,5.41e-05,1,1,1,1,0,0,8.49e-05,5.59e-05,2.8e-05,0
9606.ENSP00000360268,0,0,0,0,0.023391813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09490403,0.0,0.095902354,0.106280193,0.0,0.052631579,0.045531197,0.0,0.0,0.0862423,0.0,0.078817734,0.023255814,0.0,0.0,0.016129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.106632544,0.25181037,2.24e-05,1,1,1,1,0,0,6.1e-05,2.98e-05,1.09e-05,0
9606.ENSP00000360268,0,0,0,0,0.070175439,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.174767089,0.0027894,0.001743679,0.217391304,0.05,0.0,0.011804384,0.04,0.0,0.151266256,0.0,0.0,0.11627907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.182394967,0.2433024,2.22e-05,1,1,1,1,0,0,7.37e-05,4.33e-05,1.96e-05,0
