protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000320291,8.9,1,73.7,1.0,-64.8,64.8,0
9606.ENSP00000245121,1.8,1,73.7,1.0,-71.9,71.9,0
9606.ENSP00000304670,8.2,1,73.7,1.0,-65.5,65.5,0
9606.ENSP00000376035,0.5,1,73.7,1.0,-73.2,73.2,0
9606.ENSP00000373278,0.9,1,73.7,1.0,-72.8,72.8,0
9606.ENSP00000354859,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000365503,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000359446,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000307288,270.8,1,73.7,1.0,197.1,197.1,0
9606.ENSP00000273859,2.3,1,73.7,1.0,-71.4,71.4,0
9606.ENSP00000347665,3.0,1,73.7,1.0,-70.7,70.7,0
9606.ENSP00000281830,0.3,1,73.7,1.0,-73.4,73.4,0
9606.ENSP00000263955,9.1,1,73.7,1.0,-64.60000000000001,64.60000000000001,0
9606.ENSP00000477587,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000341551,17.3,1,73.7,1.0,-56.400000000000006,56.400000000000006,0
9606.ENSP00000251993,39.8,1,73.7,1.0,-33.900000000000006,33.900000000000006,0
9606.ENSP00000363513,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000262960,31.6,1,73.7,1.0,-42.1,42.1,0
9606.ENSP00000360855,0.3,1,73.7,1.0,-73.4,73.4,0
9606.ENSP00000398342,0.1,1,73.7,1.0,-73.60000000000001,73.60000000000001,0
9606.ENSP00000479636,54.5,1,73.7,1.0,-19.200000000000003,19.200000000000003,0
9606.ENSP00000289013,3.3,1,73.7,1.0,-70.4,70.4,0
9606.ENSP00000376421,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000353375,110.3,1,73.7,1.0,36.599999999999994,36.599999999999994,0
9606.ENSP00000369574,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000401770,261.9,1,73.7,1.0,188.2,188.2,0
9606.ENSP00000394078,0.0,0,73.7,1.0,-73.7,73.7,0
9606.ENSP00000269228,30.0,1,73.7,1.0,-43.7,43.7,1
9606.ENSP00000199708,0.8,1,73.7,1.0,-72.9,72.9,0
9606.ENSP00000402103,50.7,1,73.7,1.0,-23.0,23.0,0
9606.ENSP00000389600,5.6,1,73.7,1.0,-68.10000000000001,68.10000000000001,0
9606.ENSP00000378350,39.1,1,73.7,1.0,-34.6,34.6,0
9606.ENSP00000337393,244.1,1,73.7,1.0,170.39999999999998,170.39999999999998,0
9606.ENSP00000405514,3.2,1,73.7,1.0,-70.5,70.5,0
9606.ENSP00000358812,23.3,1,73.7,1.0,-50.400000000000006,50.400000000000006,0
9606.ENSP00000350698,71.5,1,73.7,1.0,-2.200000000000003,2.200000000000003,0
