,gene_id,hpa_location,provenance,StringID
241,LILRA5,plasma membrane:endomembrane system,uniprot,9606.ENSP00000404236
242,LILRA5,secreted proteins:secretory,uniprot,9606.ENSP00000404236
243,UNC119B,plasma membrane:endomembrane system,uniprot,9606.ENSP00000344942
244,UNC119B,microtubules:cytoplasm,uniprot,9606.ENSP00000344942
245,UNC119B,actin filaments:cytoplasm,uniprot,9606.ENSP00000344942
246,UNC119B,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000344942
247,WTIP,cell junctions:plasma membrane:endomembrane system,uniprot,9606.ENSP00000466953
248,WTIP,nucleus,uniprot,9606.ENSP00000466953
249,WTIP,cytoplasm,uniprot,9606.ENSP00000466953
250,NKX6-3,nucleus,uniprot,9606.ENSP00000429553
251,METTL15,mitochondria:cytoplasm,uniprot,9606.ENSP00000384369
252,ACOD1,mitochondria:cytoplasm,uniprot,9606.ENSP00000366682
253,LIPT2,mitochondria:cytoplasm,uniprot,9606.ENSP00000309463
254,RASSF10,cytoplasm,uniprot,9606.ENSP00000485526
255,RASSF10,cytosol:cytoplasm,uniprot,9606.ENSP00000485526
256,RASSF10,microtubules:cytoplasm,uniprot,9606.ENSP00000485526
257,RASSF10,actin filaments:cytoplasm,uniprot,9606.ENSP00000485526
258,RASSF10,intermediate filaments:cytoplasm,uniprot,9606.ENSP00000485526
259,RASSF10,centrosome:cytoplasm,uniprot,9606.ENSP00000485526
260,RASSF10,mitotic spindle:microtubules:cytoplasm,uniprot,9606.ENSP00000485526
261,PCNX2,plasma membrane:endomembrane system,uniprot,9606.ENSP00000258229
262,PCNX2,nuclear membrane:nucleus,uniprot,9606.ENSP00000258229
263,SHISA7,plasma membrane:endomembrane system,uniprot,9606.ENSP00000365503
266,COL6A6,secreted proteins:secretory,uniprot,9606.ENSP00000351310
267,COL6A6,secretory,uniprot,9606.ENSP00000351310
268,IFITM5,plasma membrane:endomembrane system,uniprot,9606.ENSP00000372059
269,USP27X,cytoplasm,uniprot,9606.ENSP00000483631
