protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000216214,2.3591350331414053e-06,8.978455052447629e-07,2.3790589556905267e-07
9606.ENSP00000466542,0.0001011103521908,6.436463824524464e-05,2.9873091280100723e-05
9606.ENSP00000367318,1.5708570694411666e-05,7.268747070288499e-06,2.270951578197358e-06
9606.ENSP00000001008,9.271245175208626e-05,4.168364615699902e-05,1.4765643219830224e-05
9606.ENSP00000380746,1.4303747541296534e-05,6.2455578534353236e-06,1.888523721629001e-06
9606.ENSP00000361636,0.0001094114642231,4.806476964364402e-05,1.8142296038134257e-05
9606.ENSP00000326063,2.2685572948537216e-06,9.21975469648502e-07,2.195563516678174e-07
9606.ENSP00000313829,9.026197520330272e-05,4.0425062571336045e-05,1.4207951900250844e-05
9606.ENSP00000340243,1.4662337973859943e-06,7.928658512388531e-07,2.8577290084683e-07
9606.ENSP00000346139,2.6083449897944687e-06,1.2117901102262015e-06,3.750459657381414e-07
9606.ENSP00000226253,6.405541477946053e-05,2.9017998134889895e-05,1.036489715042592e-05
9606.ENSP00000352976,2.911585256303542e-06,1.13930398423181e-06,3.135544078928446e-07
9606.ENSP00000388723,8.15628982991127e-06,3.1508728459473685e-06,8.589924161882756e-07
9606.ENSP00000284476,1.2858717191200252e-05,8.176847842508124e-06,3.28925739815779e-06
9606.ENSP00000245544,4.825584030758227e-05,2.842326119352524e-05,1.300301796429617e-05
9606.ENSP00000308361,1.4180580409107375e-06,5.14001786885716e-07,1.2350827330327245e-07
9606.ENSP00000367330,2.2257297995999442e-07,8.028996441854034e-08,2.004669988990976e-08
9606.ENSP00000311505,0.0001085965978171,4.026662526757536e-05,1.0875029020813496e-05
9606.ENSP00000374359,5.853597348885837e-06,3.160583802649326e-06,1.1884969434992204e-06
9606.ENSP00000340409,2.0180472089391965e-05,1.3056442033277798e-05,6.301632454759908e-06
9606.ENSP00000337451,4.244776656418608e-05,1.7200335044308464e-05,5.215404112191079e-06
9606.ENSP00000291934,4.4445874752899924e-07,1.395016893393313e-07,2.6479155136248245e-08
9606.ENSP00000428316,2.921637458301045e-07,1.252649456554926e-07,3.5960734353144223e-08
9606.ENSP00000386376,7.438712625276506e-07,2.44925917492642e-07,5.989933359007877e-08
9606.ENSP00000463287,4.724023166541443e-06,3.5981157704367943e-06,1.9215332162899584e-06
9606.ENSP00000479919,2.5614171285802472e-05,1.1350673367630032e-05,3.755368102049984e-06
9606.ENSP00000275766,3.090352516104387e-06,1.2734617156756323e-06,3.645185122920457e-07
9606.ENSP00000294600,2.4314364687233592e-06,1.3349101838427145e-06,4.79090787048013e-07
9606.ENSP00000376827,5.369381920836405e-06,1.969354418662622e-06,5.13196225015184e-07
9606.ENSP00000355045,3.4749392597102013e-06,2.995134448419057e-06,1.7935949686899183e-06
9606.ENSP00000480824,1.6728016886588151e-06,8.07739969623536e-07,2.601719582049673e-07
9606.ENSP00000312672,3.0626488760330753e-06,1.5317472373545149e-06,5.137799040785441e-07
9606.ENSP00000217173,2.1236799288801704e-05,9.127484217464494e-06,2.7213284245374457e-06
9606.ENSP00000381823,0.0015993935462527,0.0022582581490572,0.0021785566588691
9606.ENSP00000439467,5.8505513703544985e-06,2.3374848310429346e-06,6.539621132747987e-07
9606.ENSP00000314543,7.349797461205677e-06,4.958335916661788e-06,2.550493952347471e-06
9606.ENSP00000442563,3.419014259829342e-05,2.1856621998188624e-05,1.0881477660223938e-05
9606.ENSP00000364249,5.5216389396363896e-05,4.478877828566928e-05,2.516578001278622e-05
9606.ENSP00000308258,1.6364780773515873e-05,1.014341707101269e-05,4.1004986545294205e-06
9606.ENSP00000479060,9.453410401746584e-07,5.492142946258231e-07,2.0315306657664015e-07
9606.ENSP00000348074,8.743085956105445e-07,3.069335320036633e-07,7.534114630602293e-08
9606.ENSP00000356410,2.542251124646155e-05,1.60759811606782e-05,7.942199988773319e-06
9606.ENSP00000269593,4.5801739918437964e-06,2.0944118329380898e-06,6.5320918236795e-07
9606.ENSP00000375429,4.660099467168348e-06,2.2522100769254525e-06,7.404699224334082e-07
9606.ENSP00000386207,6.569069382252345e-06,2.9348617249915043e-06,8.874872360467713e-07
9606.ENSP00000335660,5.223384481973648e-07,2.1215190971305485e-07,6.077436244084051e-08
9606.ENSP00000388806,0.0001435749716624,8.44887299815e-05,4.115866004608704e-05
9606.ENSP00000348349,0.0001191146626447,4.854789241544235e-05,1.676049046444726e-05
9606.ENSP00000480538,2.1928161348959127e-05,1.012335235493792e-05,3.7616778055203008e-06
9606.ENSP00000281017,8.935010963713911e-07,3.774892494540014e-07,1.0456433988029577e-07
9606.ENSP00000365806,6.947344250157572e-05,2.71957635546691e-05,9.285766523400436e-06
9606.ENSP00000301691,8.352215681694998e-06,3.471833917551579e-06,1.0129838752127043e-06
9606.ENSP00000354573,6.824068340125568e-05,3.097487402443086e-05,1.1858042352746018e-05
9606.ENSP00000347821,5.761225725246822e-06,2.3526789596057403e-06,6.513607243996611e-07
9606.ENSP00000249923,0.0001040858467476,4.690482671927855e-05,1.6014634731959866e-05
9606.ENSP00000469582,1.7901680577398918e-05,1.201541779077101e-05,6.079597917330176e-06
9606.ENSP00000373575,2.168943388270823e-07,6.988114068951974e-08,1.3867335734713356e-08
9606.ENSP00000345344,3.358350167366443e-05,2.2606422952463353e-05,1.1714662072844013e-05
9606.ENSP00000274963,2.8647385604422926e-05,9.335172058747464e-06,2.242842155740735e-06
9606.ENSP00000406164,1.921284724245822e-06,9.813041294522663e-07,3.280929115947319e-07
9606.ENSP00000445359,1.5176190194037228e-05,8.33905257366862e-06,3.393218441403401e-06
9606.ENSP00000483300,3.446403112673166e-05,1.9336669353917256e-05,8.580222198503796e-06
9606.ENSP00000368304,5.983756132520114e-06,2.216509092846398e-06,5.851107910672914e-07
9606.ENSP00000415662,1.3472226831586332e-06,5.691115857018301e-07,1.650646704192014e-07
9606.ENSP00000424896,3.084010049745317e-05,1.2382483328140786e-05,3.6456358314832327e-06
9606.ENSP00000334276,1.8961768435987148e-05,7.005984359042441e-06,1.845633967922814e-06
9606.ENSP00000294543,8.498457017790105e-06,4.2514017116595545e-06,1.8009386800520907e-06
9606.ENSP00000315081,2.0362537484856872e-06,7.889490877803802e-07,1.820105490750381e-07
9606.ENSP00000356385,1.169900948524905e-06,4.2823940540013443e-07,1.0897338938887168e-07
9606.ENSP00000300658,2.052398431902909e-06,7.091027453867454e-07,1.5910563362182884e-07
9606.ENSP00000337825,0.0001137444795797,5.918266299738113e-05,2.339967786617289e-05
9606.ENSP00000333813,1.959543567744127e-06,1.2693237824539537e-06,6.400952711165306e-07
9606.ENSP00000438349,3.118373553891971e-05,1.2202185690414274e-05,3.451776770524462e-06
9606.ENSP00000272732,2.0487667401853247e-05,6.880747499950347e-06,1.7158329926974151e-06
9606.ENSP00000351379,1.033495917911601e-06,3.014532731606113e-07,6.133974109470537e-08
9606.ENSP00000464976,1.8293099259862336e-05,1.2217721109334678e-05,6.147226896851799e-06
9606.ENSP00000354694,1.3587490009565696e-06,6.47380744945534e-07,2.061640771764835e-07
9606.ENSP00000353458,0.0001420157030033,8.572687651349378e-05,3.941862272851911e-05
9606.ENSP00000303211,2.7222491698714457e-05,2.1363922255943508e-05,1.197554704029546e-05
9606.ENSP00000356468,3.194175650369706e-05,1.475459208335824e-05,5.296808180339704e-06
9606.ENSP00000391747,1.371433644861312e-05,5.535271004614445e-06,1.570730972357434e-06
9606.ENSP00000276052,0.0001432891080244,8.40897484037593e-05,3.7371001625713167e-05
9606.ENSP00000369081,5.4320045475065826e-05,2.76597180891509e-05,1.1001071335493224e-05
9606.ENSP00000308591,2.789950920779376e-07,1.0419776196490213e-07,2.2959063626588345e-08
9606.ENSP00000348216,5.049302311106824e-06,2.2136225378778224e-06,7.656462422486211e-07
9606.ENSP00000428137,2.182348459923251e-06,1.2283224562377934e-06,5.260345067493082e-07
9606.ENSP00000260645,1.5948933485504963e-05,7.698422225459995e-06,2.8877389388749455e-06
9606.ENSP00000298223,4.796529484665317e-07,1.903184059290728e-07,5.378107244490132e-08
9606.ENSP00000299798,4.205733429730889e-06,1.9072466151360324e-06,5.767509438105203e-07
9606.ENSP00000247219,0.0001607042177093,0.0001024592637446,4.893077662442691e-05
9606.ENSP00000299575,4.604350192907917e-06,2.484669798069696e-06,1.0295947827941726e-06
