protein,Heat_target_0.1,Heat_target_0.2,Heat_target_0.3
9606.ENSP00000320869,5.9568705182755366e-05,6.0033064073650166e-05,5.817160854348913e-05
9606.ENSP00000288840,6.334336649160832e-05,5.9372316172812134e-05,5.774784949608147e-05
9606.ENSP00000288207,6.375482917064801e-05,5.9471723943715915e-05,5.778269405709579e-05
9606.ENSP00000305899,6.421619036700577e-05,5.9861253248527646e-05,5.797211633762345e-05
9606.ENSP00000352011,6.112488335929811e-05,5.92884243815206e-05,5.775969475507736e-05
9606.ENSP00000256544,5.153005986358039e-05,5.835789124830626e-05,5.795095057692379e-05
9606.ENSP00000297737,3.93296213587746e-05,5.270383189781569e-05,5.603908721241169e-05
9606.ENSP00000304229,6.366019078996032e-05,5.9579149819910526e-05,5.788361158920452e-05
9606.ENSP00000442050,6.016595216351561e-05,5.9953970776405185e-05,5.81303502258379e-05
9606.ENSP00000320924,6.220506475074217e-05,5.931844862061553e-05,5.776280158897862e-05
9606.ENSP00000335612,6.268407014431432e-05,5.933803913649171e-05,5.7740377087611705e-05
9606.ENSP00000360968,5.947110548731871e-05,6.068827860872261e-05,5.859864177182317e-05
9606.ENSP00000376330,6.171187123982236e-05,5.912619235459715e-05,5.768401388195343e-05
9606.ENSP00000341640,5.2535579015966505e-05,5.815993426949717e-05,5.764721208834089e-05
9606.ENSP00000218006,6.120204488979653e-05,5.932117346674204e-05,5.777940896223299e-05
9606.ENSP00000235532,2.8878777811769396e-05,4.0221861127065495e-05,4.6830180508550256e-05
9606.ENSP00000420608,6.192681757966056e-05,5.915714064030908e-05,5.769893323304131e-05
9606.ENSP00000366748,6.626834510825574e-05,6.0138452681712806e-05,5.8331639593234286e-05
9606.ENSP00000382783,2.5302877475041896e-05,4.3591899157036096e-05,5.118149420013651e-05
9606.ENSP00000321334,5.908946695853956e-05,5.825522021041252e-05,5.7368983107153326e-05
9606.ENSP00000358464,6.307804869720712e-05,5.9472451539477333e-05,5.779666025773622e-05
9606.ENSP00000411593,5.176842387299985e-05,5.814403266413137e-05,5.77306273044087e-05
9606.ENSP00000311545,5.15594583703205e-05,5.772785152657889e-05,5.7432742323726416e-05
9606.ENSP00000251643,4.8438465455546975e-05,5.775090176030062e-05,5.7816771004581824e-05
9606.ENSP00000389998,4.089895446668379e-05,5.025494465371594e-05,5.309859261615202e-05
9606.ENSP00000355675,3.405549796298146e-05,4.900954445474781e-05,5.3988074796507135e-05
9606.ENSP00000275732,5.9994825278408825e-05,5.7523997384123504e-05,5.6366963690379634e-05
9606.ENSP00000278715,4.7235927922884e-05,5.709258766728453e-05,5.786309338873252e-05
9606.ENSP00000295910,5.020561275159707e-06,1.0192919944529422e-05,1.472741860197857e-05
9606.ENSP00000297161,5.246937143965624e-05,5.821059312438592e-05,5.767657421529293e-05
9606.ENSP00000326579,7.233963697217405e-05,5.960348426015116e-05,5.7719098549569026e-05
9606.ENSP00000480626,6.662143277935684e-05,6.222848605830222e-05,5.924993092776276e-05
9606.ENSP00000318822,6.462339661084116e-05,5.982772563584149e-05,5.7955781812779605e-05
9606.ENSP00000274625,5.927737947786227e-05,5.890139436814934e-05,5.765641617472283e-05
9606.ENSP00000301071,6.190574640640989e-05,5.892864282941446e-05,5.752267679781653e-05
9606.ENSP00000398655,6.098169615142979e-05,5.882031473447569e-05,5.7534402003511786e-05
9606.ENSP00000269025,6.271302845561877e-05,5.942170901107602e-05,5.779432103736326e-05
9606.ENSP00000365694,6.266244599828497e-05,5.937058085692115e-05,5.777083788416349e-05
9606.ENSP00000301305,0.0001054782187566,6.682392995571718e-05,6.129491521278396e-05
