protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,go_sim,sub_sim,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000348959,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008153242,0.014619883,0.026929982,0.0,0.004098361,0.0,0.00623053,0.0,0.0,0.038053649,0.031446541,0.034090909,0.014388489,0.033898305,0.0,0.015151515,0.0,0.0,0.031386225,0.017094017,0.145985401,0.009803922,0.08,0.125,0.0,0.0,0.0,1,0.020941229,0.34416,1.45e-05,1.39e-05,7.61e-06,2.76e-06,1,1,1,0,0,0,0.6666666666666666,0.0305928945381555,-57.900000000000006,57.900000000000006,0
9606.ENSP00000261396,0,0,0,0,0.076923077,0.0,0.0,0.0,0.0,0.0,0.333333333,0.0,0.0,0.056188605,0.058479532,0.095152603,0.042016807,0.016393443,0.086956522,0.087227414,0.014705882,0.0,0.002495321,0.008385744,0.0,0.007194245,0.0,0.0,0.0,0.0,0.0,0.10462075,0.051282051,0.02919708,0.039215686,0.04,0.0,0.105263158,0.017241379,0.0,1,0.071605494,0.820284894,3.56e-05,4.29e-05,2.61e-05,1.23e-05,1,1,1,0,0,0,0.5443310539518174,0.6185588938793638,-50.3,50.3,0
9606.ENSP00000299238,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005206287,0.010526316,0.017953321,0.00210084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002615519,0.0,0.0,0.029411765,0.0,0.125,0.0,0.0,0.0,1,0.006755235,0.1266408,3.07e-06,5.8e-06,2.73e-06,9.66e-07,1,1,1,0,0,0,0.5443310539518174,0.0338603313359129,-61.6,61.6,0
9606.ENSP00000414909,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001669941,0.002339181,0.005385996,0.00210084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.001876454,0.10905678,6.49e-08,4.35e-07,1.56e-07,3.91e-08,1,1,1,1,0,0,0.0,0.0,-73.7,73.7,0
9606.ENSP00000321997,0,0,0,0,0.134615385,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083693517,0.071345029,0.078994614,0.094537815,0.077868852,0.043478261,0.052959502,0.058823529,0.028169014,0.006238303,0.01048218,0.0,0.007194245,0.016949153,0.0,0.0,0.076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.085040907,0.24518984,1.89e-05,5.42e-05,2.96e-05,1.3e-05,1,1,1,0,0,0,0.4714045207910316,-0.0669268073775851,-59.900000000000006,59.900000000000006,0
9606.ENSP00000309501,0,0,0,0,0.153846154,0.066666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.145579568,0.139766082,0.193895871,0.088235294,0.081967213,0.043478261,0.180685358,0.044117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.14726413,0.228381566,4.93e-05,8.35e-05,4.94e-05,2.3e-05,1,1,1,0,0,0,0.0,0.0,-73.7,73.7,0
9606.ENSP00000313967,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00589391,0.011111111,0.003590664,0.012605042,0.028688525,0.0,0.00623053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.007205584,0.176614494,1.48e-06,9.48e-06,3.41e-06,8.67e-07,1,1,1,1,0,0,0.0,-0.0243885796913621,-73.7,73.7,0
9606.ENSP00000386229,0,0,0,0,0.038461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105795678,0.132163743,0.061041293,0.107142857,0.098360656,0.043478261,0.080996885,0.073529412,0.056338028,0.006862133,0.037735849,0.0,0.014388489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.11116115,0.24214464,3.85e-05,8.29e-05,3.7e-05,1.34e-05,1,1,1,0,0,0,0.502518907629606,-0.2258853377588232,-72.8,72.8,0
9606.ENSP00000361214,0,0,0,0,0.019230769,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.011198428,0.015789474,0.007181329,0.008403361,0.020491803,0.0,0.0,0.014705882,0.211267606,0.001871491,0.006289308,0.011363636,0.014388489,0.008474576,0.0,0.0,0.0,0.0,0.047079337,0.106837607,0.0,0.107843137,0.14,0.125,0.131578947,0.017241379,0.0,1,0.022592509,0.5365074,8.98e-05,3.01e-05,2.18e-05,1.17e-05,1,1,1,0,0,0,0.4472135954999579,0.0157387549723199,-73.7,73.7,0
9606.ENSP00000453502,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007760314,0.006432749,0.005385996,0.014705882,0.020491803,0.0,0.015576324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.008256399,0.11769786,8.51e-07,4.6e-06,2.08e-06,6.44e-07,1,1,1,1,0,0,0.0,0.0,-60.7,60.7,0
