protein,P,EP,TP,DP,EEP,ETP,EDP,TEP,TTP,TDP,DEP,DTP,DDP,EEEP,EETP,EEDP,ETEP,ETTP,ETDP,EDEP,EDTP,EDDP,TEEP,TETP,TEDP,TTEP,TTTP,TTDP,TDEP,TDTP,TDDP,DEEP,DETP,DEDP,DTEP,DTTP,DTDP,DDEP,DDTP,DDDP,has_path,num_paths,max_path_score,max_degree_score,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,thermo1,thermo2,thermo3,thermo4,thermo5,thermo6,label
9606.ENSP00000429553,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005599214,0.011111111,0.003590664,0.018907563,0,0,0.012461059,0.014705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.006905352,0.1284732,2.09E-06,5.66E-06,2.68E-06,8.31E-07,1,1,1,1,0,0,0
9606.ENSP00000483764,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001571709,0,0.003590664,0.00210084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.001426105,0.020377728,5.02E-08,6.25E-07,2.11E-07,4.88E-08,1,1,1,1,0,0,0
9606.ENSP00000364883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035068762,0.028070175,0.019748654,0.033613445,0.008196721,0,0.07165109,0.014705882,0,0.001247661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.034526758,0.205261,2.30E-06,3.40E-05,1.10E-05,2.61E-06,1,1,1,1,0,0,0
9606.ENSP00000360688,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0.011198428,0.00994152,0.017953321,0.006302521,0.008196721,0,0.012461059,0,0,0.008733624,0.002096436,0,0.021582734,0.016949153,0.045454545,0,0,0,0.010462075,0.004273504,0.058394161,0.225490196,0.14,0.375,0,0,0,1,0.016963146,0.3640182,0.00010513,3.01E-05,2.30E-05,1.26E-05,1,1,1,0,0,0,0
9606.ENSP00000318641,0,0,0,0,0.038461538,0.066666667,0,0,0,0,0,0,0,0.040275049,0.04502924,0.055655296,0.018907563,0.020491803,0,0.07165109,0.029411765,0.056338028,0.018091079,0.01048218,0.011363636,0,0,0,0.015151515,0,0,0.028770706,0.025641026,0.01459854,0.039215686,0.04,0,0.085526316,0,0.007168459,1,0.049688509,0.416512152,9.17E-06,2.75E-05,1.31E-05,4.71E-06,1,1,1,0,0,0,0
9606.ENSP00000272641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003831041,0.001754386,0,0.00210084,0.008196721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003377618,0.07145712,1.82E-06,3.79E-06,1.46E-06,4.08E-07,1,1,1,1,0,0,0
9606.ENSP00000302437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000589391,0.000584795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000525407,0.02950992,1.64E-07,2.59E-07,1.07E-07,3.09E-08,1,1,1,1,0,0,0
9606.ENSP00000365201,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0.068565815,0.05380117,0.107719928,0.06302521,0.032786885,0.086956522,0.028037383,0.029411765,0.084507042,0.006238303,0.004192872,0.056818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.069503865,0.273685188,1.89E-05,4.97E-05,2.21E-05,7.51E-06,1,1,1,0,0,0,0
9606.ENSP00000167588,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004223969,0.005263158,0,0,0,0,0,0,0,0.005614473,0.008385744,0,0.028776978,0.016949153,0.045454545,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005404188,0.13894146,2.32E-06,4.71E-06,1.86E-06,5.31E-07,1,1,1,1,0,0,0
9606.ENSP00000363794,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011493124,0.016374269,0.007181329,0,0,0,0.009345794,0,0,0.006238303,0,0,0.014388489,0.008474576,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,1,0.012459656,0.1254384,9.24E-07,1.44E-05,5.23E-06,1.34E-06,1,1,1,1,0,0,0
9606.ENSP00000276202,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0.048821218,0.111111111,0.048473968,0.050420168,0.094262295,0.173913043,0.012461059,0.029411765,0,0.001871491,0,0,0.014388489,0.008474576,0,0.015151515,0,0,0,0,0,0,0,0,0,0,0,1,0.058545373,0.235119456,1.39E-05,3.21E-05,1.27E-05,4.20E-06,1,1,1,0,0,0,0
9606.ENSP00000344749,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000982318,0.000584795,0,0.00210084,0,0,0.003115265,0,0,0.014971928,0.016771488,0,0,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.003527734,0.164711008,3.81E-07,3.33E-06,1.44E-06,3.72E-07,1,1,1,1,0,0,0
9606.ENSP00000289104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059823183,0.093567251,0.014362657,0.048319328,0.12704918,0.173913043,0.043613707,0.044117647,0,0.007485964,0.018867925,0,0.007194245,0.016949153,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.065750957,0.32714304,1.66E-06,5.28E-05,1.79E-05,4.44E-06,1,1,1,1,0,0,0
9606.ENSP00000476821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001768173,0.005263158,0.001795332,0.004201681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.002251745,0.208400626,8.90E-07,2.59E-06,9.33E-07,2.37E-07,1,1,1,1,0,0,0
9606.ENSP00000322532,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012082515,0.018128655,0.008976661,0.010504202,0.024590164,0,0.021806854,0,0,0.003742982,0.004192872,0,0.007194245,0.008474576,0,0,0,0,0.002615519,0,0,0,0,0,0,0,0,1,0.014261052,0.46254348,2.89E-06,9.08E-06,3.77E-06,1.10E-06,1,1,1,1,0,0,0
9606.ENSP00000355304,0,0,0,0,0,0,0,0.5,0.083333333,0,0,0,0,0.013163065,0.028070175,0.003590664,0.00210084,0.008196721,0,0.003115265,0,0,0.116032439,0.048218029,0.090909091,0.057553957,0.06779661,0,0.045454545,0,0,0,0,0,0,0,0,0,0,0,1,0.032199955,0.233473856,2.34E-05,2.37E-05,1.69E-05,9.15E-06,1,1,1,0,0,0,0
9606.ENSP00000422185,0,0,0,0,0.019230769,0,0,0.125,0,0,0,0,0,0.010314342,0.007602339,0.008976661,0.014705882,0.008196721,0.260869565,0,0,0,0.009357455,0.004192872,0,0.100719424,0.033898305,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.01313518,0.20896974,1.39E-05,1.62E-05,8.24E-06,3.39E-06,1,1,1,0,0,0,0
