protein,shortest_path_length,label
9606.ENSP00000225512,-2,0.0
9606.ENSP00000265563,-3,0.0
9606.ENSP00000297857,-3,0.0
9606.ENSP00000356433,-2,0.0
9606.ENSP00000261889,-3,0.0
9606.ENSP00000307939,-4,0.0
9606.ENSP00000282928,-4,0.0
9606.ENSP00000366387,-3,0.0
9606.ENSP00000285407,-4,0.0
9606.ENSP00000362795,-3,0.0
9606.ENSP00000359225,-3,0.0
9606.ENSP00000358698,-2,0.0
9606.ENSP00000377470,-3,0.0
9606.ENSP00000333024,-3,0.0
9606.ENSP00000350331,-4,0.0
9606.ENSP00000429168,-4,0.0
9606.ENSP00000322390,-3,0.0
9606.ENSP00000380008,-3,0.0
9606.ENSP00000363260,-3,0.0
9606.ENSP00000367029,-3,0.0
9606.ENSP00000385570,-4,0.0
9606.ENSP00000301634,-4,0.0
9606.ENSP00000333363,-4,0.0
9606.ENSP00000279068,-3,0.0
9606.ENSP00000268482,-3,0.0
9606.ENSP00000317232,-3,0.0
9606.ENSP00000364449,-3,0.0
9606.ENSP00000476384,-4,0.0
9606.ENSP00000347188,-4,0.0
9606.ENSP00000305071,-3,0.0
9606.ENSP00000353132,-4,0.0
9606.ENSP00000395983,-3,0.0
9606.ENSP00000339659,-3,0.0
9606.ENSP00000309606,-4,0.0
9606.ENSP00000256496,-3,0.0
9606.ENSP00000285873,-3,0.0
9606.ENSP00000305449,-4,0.0
9606.ENSP00000391209,-4,0.0
9606.ENSP00000441405,-3,0.0
9606.ENSP00000264499,-4,0.0
9606.ENSP00000362115,-3,0.0
9606.ENSP00000250559,-3,0.0
9606.ENSP00000222247,-3,0.0
9606.ENSP00000385461,-4,0.0
9606.ENSP00000340329,-3,0.0
9606.ENSP00000300035,-3,0.0
9606.ENSP00000466047,-3,0.0
9606.ENSP00000430325,-4,0.0
9606.ENSP00000348753,-3,0.0
9606.ENSP00000240423,-3,0.0
9606.ENSP00000310557,-4,0.0
9606.ENSP00000444856,-3,0.0
9606.ENSP00000328111,-4,0.0
9606.ENSP00000364858,-4,0.0
9606.ENSP00000345107,-4,0.0
9606.ENSP00000406201,-3,0.0
9606.ENSP00000421871,-4,0.0
9606.ENSP00000352846,-3,0.0
9606.ENSP00000248901,-4,0.0
9606.ENSP00000269216,-3,0.0
9606.ENSP00000298743,-3,0.0
9606.ENSP00000351602,-3,0.0
9606.ENSP00000371728,-4,0.0
9606.ENSP00000313752,-4,0.0
9606.ENSP00000366084,-3,0.0
9606.ENSP00000248114,-3,0.0
9606.ENSP00000375730,-3,0.0
9606.ENSP00000349860,-3,0.0
9606.ENSP00000349205,-3,1.0
9606.ENSP00000339795,-3,0.0
9606.ENSP00000227638,-3,0.0
9606.ENSP00000419313,-4,0.0
9606.ENSP00000347416,-3,0.0
9606.ENSP00000428480,-4,0.0
9606.ENSP00000332148,-3,0.0
9606.ENSP00000264245,-3,0.0
9606.ENSP00000215095,-4,0.0
9606.ENSP00000376822,-3,0.0
9606.ENSP00000309198,-3,0.0
9606.ENSP00000313318,-4,0.0
9606.ENSP00000400892,-4,0.0
9606.ENSP00000362344,-4,0.0
9606.ENSP00000340274,-3,0.0
9606.ENSP00000426120,-4,0.0
9606.ENSP00000400591,-3,0.0
9606.ENSP00000369080,-5,0.0
9606.ENSP00000325561,-4,0.0
9606.ENSP00000225698,-3,0.0
9606.ENSP00000386306,-4,0.0
9606.ENSP00000255226,-4,0.0
9606.ENSP00000428698,-4,0.0
9606.ENSP00000347484,-3,0.0
9606.ENSP00000259711,-3,0.0
9606.ENSP00000296870,-3,0.0
9606.ENSP00000234195,-4,0.0
9606.ENSP00000366221,-3,0.0
9606.ENSP00000315410,-3,0.0
9606.ENSP00000357915,-4,0.0
9606.ENSP00000470142,-3,0.0
9606.ENSP00000384491,-3,0.0
