protein,heat_0.1_0.1,heat_0.1_0.2,heat_0.1_0.3,heat_0.1_0.4,heat_0.1_0.5,heat_0.1_0.6,heat_0.1_0.7,heat_0.1_0.8,heat_0.1_0.9,heat_0.1_1.0
9606.ENSP00000354522,0.0024023349760682,0.0046202992107282,0.0069518928739853,0.0092025484627811,0.0111848871529218,0.0135142002127395,0.0158407737344532,0.0183819327994569,0.0204414873787754,0.0226208256881363
9606.ENSP00000339245,0.0024371220933971,0.0047194499275065,0.0070628017865601,0.0095300675611724,0.0115486110416895,0.0138896077501158,0.0160317651047989,0.0186358397536423,0.0205190062342808,0.0226206056731825
9606.ENSP00000360803,0.002761283127711,0.0046473295699343,0.0067299527020168,0.0089968778941056,0.0109516784198149,0.0131068502539619,0.0150037533783233,0.017530256189957,0.0194801227269181,0.021468074424547
9606.ENSP00000312981,0.002429097858112,0.0046866861739545,0.0070266858201648,0.0092816089063489,0.0112624190014685,0.0135737364880696,0.0158940660448934,0.0185044619620384,0.020564758360706,0.0227832416821911
9606.ENSP00000283131,0.0025772718254302,0.0046211467815737,0.0068746796146115,0.009060370955467,0.0109935237373974,0.0134880867840365,0.015612312282883,0.0181587363945254,0.0203042341131549,0.0225780877412944
9606.ENSP00000392028,0.0024440896231681,0.0046094256613287,0.0069169661851447,0.0091424851902957,0.0111862188546183,0.0133472181637444,0.0154276524381202,0.0180932678040335,0.0202742457904605,0.0223754690186979
9606.ENSP00000376213,0.0023501667110394,0.0039904381983433,0.0066974173680591,0.0084179556035905,0.0100054081560756,0.0119616100457733,0.0135780663042623,0.015549853226048,0.0172425705798104,0.0190959082776771
9606.ENSP00000312741,0.0024156790013876,0.0044553336547323,0.0066820983656725,0.0089200069951402,0.011009894052222,0.013335135273337,0.0154464409433785,0.0180442874889195,0.0200962684439218,0.022150505305035
9606.ENSP00000296490,0.0024674429096194,0.004529873499905,0.0067866395015698,0.0090580960545594,0.0111873818327694,0.0135702076972847,0.0156926446893521,0.018328443176415,0.0203963812887195,0.0224850088702623
9606.ENSP00000380271,0.0028980224124097,0.0049443726416029,0.0071888607885739,0.0093923453819115,0.0114154321740898,0.0136568202465241,0.0156894136775918,0.0181851307575016,0.0201911636781915,0.0221915810120663
