protein,RW_20_0.1,RW_20_0.2,RW_20_0.3,RW_20_0.4,RW_20_0.5,RW_20_0.6,RW_20_0.7,RW_20_0.8,RW_20_0.9,RW_20_1.0
9606.ENSP00000310670,0.0011883507249876,0.0021537027787417,0.0031934361541061,0.0040102707353071,0.0054952374484855,0.0065350026707164,0.0074259357352275,0.0080200077572953,0.0090594636640162,0.0102476017200388
9606.ENSP00000342331,8.043821935643791e-05,0.0001458666115468,0.000216334407014,0.0002716516000873,0.0003723360050571,0.000442860374278,0.0005032644326092,0.0005435698094515,0.0006140053969829,0.0006945869604351
9606.ENSP00000265769,0.0002576743281679,0.0004672812974604,0.0006937210528121,0.0008712046656,0.0011942711498704,0.0014199792240106,0.0016138582341227,0.0017429772597097,0.0019691441848408,0.0022285568156803
9606.ENSP00000274496,0.000595208723098,0.001079304045561,0.0016004330245777,0.0020100469591852,0.0027548233920242,0.0032758939560153,0.0037229259833111,0.004020831802336,0.0045423473675327,0.0051380531185714
9606.ENSP00000261917,0.0001528077173134,0.0002769266093309,0.0004106342366867,0.0005157681134733,0.0007067536507747,0.0008405506150666,0.0009551507428113,0.0010316138359485,0.0011652995544864,0.0013181191379771
9606.ENSP00000454071,0.0015980678072082,0.0028938670075149,0.004287557421776,0.0053834195568924,0.0073744628316489,0.0087726546335034,0.0099674338052864,0.0107650943245971,0.0121604710438987,0.0137571535960887
9606.ENSP00000364627,0.0001612885025679,0.0002919868502431,0.0004326495181885,0.0005432861598819,0.0007442983160217,0.0008853620583977,0.0010059633450509,0.0010864544856303,0.0012272600688447,0.0013883987558074
9606.ENSP00000451112,0.0003134616945317,0.0005683955805579,0.0008429283570876,0.0010585653599264,0.0014507700234389,0.0017253795958822,0.0019606974019552,0.0021175325091462,0.0023919448067317,0.0027058168707299
9606.ENSP00000379721,0.0011333415604894,0.0020540467012324,0.0030457402463071,0.003825149986369,0.0052417685874388,0.0062337111303349,0.007083765041898,0.0076506065888679,0.0086420909501612,0.0097755605820566
9606.ENSP00000346466,0.0001125305657296,0.0002039996020357,0.0003025035903192,0.000379920607429,0.0005206697983339,0.0006191813472469,0.0007036535289444,0.0007599643390676,0.0008585155856053,0.000971096651483
