protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000375073,9.404034244653303e-06,9.04539137991378e-06,9.037330528371967e-06
9606.ENSP00000299162,1.7284435671172105e-05,1.609276296221651e-05,1.6066362150013447e-05
9606.ENSP00000397441,8.238982991315424e-05,8.037083898670971e-05,8.033046469790861e-05
9606.ENSP00000367309,0.0001124660702771,0.0001070785583578,0.0001069402424036
9606.ENSP00000355210,1.9170283849234693e-05,1.9084016457782127e-05,1.9078168406849727e-05
9606.ENSP00000355512,1.1888794688275084e-05,1.2051614248775875e-05,1.2049489669152535e-05
9606.ENSP00000377508,0.0002199374284828,0.0002204408956458,0.0002204040356446
9606.ENSP00000311005,0.000239613757003,0.0002404985280008,0.0002404820115771
9606.ENSP00000362424,5.9602829423965886e-05,5.9756628616014495e-05,5.9744346799561754e-05
9606.ENSP00000371253,0.0001037195106619,0.0001044343080138,0.0001044261662173
9606.ENSP00000245908,1.87367077160161e-05,1.858040559454821e-05,1.857571623986587e-05
9606.ENSP00000362550,7.769489457132295e-05,7.974167965585366e-05,7.982216629898176e-05
9606.ENSP00000337510,4.091652044735383e-06,4.018613708467456e-06,4.016370439785533e-06
9606.ENSP00000264009,7.39001261536032e-05,7.282373553607613e-05,7.279564306372777e-05
9606.ENSP00000244051,5.64844704058487e-05,5.574089664150961e-05,5.572802911046893e-05
9606.ENSP00000427882,2.883352863136679e-05,2.8627067877096124e-05,2.861784741980955e-05
9606.ENSP00000291577,1.897318725241348e-05,1.9073693692917004e-05,1.907763726194389e-05
9606.ENSP00000364449,2.082030550809577e-05,2.0590507119777612e-05,2.0584373487508856e-05
9606.ENSP00000359549,3.058744141526404e-06,3.0126409455988323e-06,3.0123153464955976e-06
9606.ENSP00000264711,0.0001231982168974,0.0001250433706445,0.0001250121276825
9606.ENSP00000267935,7.609421300003305e-05,7.484586967620999e-05,7.480625936295837e-05
9606.ENSP00000274710,2.83520421362482e-05,2.862507062673103e-05,2.8617369025596417e-05
9606.ENSP00000301838,8.269786485470831e-05,8.136174437822774e-05,8.133365918183699e-05
9606.ENSP00000382856,1.5804803297214676e-06,1.5082608797456487e-06,1.5062391867104452e-06
9606.ENSP00000356540,8.481216354994103e-05,8.188383799279109e-05,8.183642057701945e-05
9606.ENSP00000389168,0.000121828088595,0.0001220082122017,0.0001219970727106
9606.ENSP00000369614,2.2368609279510565e-05,2.209541344200261e-05,2.2090282072895207e-05
9606.ENSP00000320236,2.7041256544180214e-05,2.710439366637729e-05,2.7110034352517687e-05
9606.ENSP00000441417,5.707309810532024e-06,5.5257501117012e-06,5.522588708117837e-06
