protein,RNA line ab,binary_RNA line ab,RNA line ab_y,binary_RNA line ab_y,cell_ab_diff,cell_ab_diff_abs,label
9606.ENSP00000269491,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000281631,0.5,1.0,298.6,1.0,-298.1,298.1,0
9606.ENSP00000315915,1.8,1.0,298.6,1.0,-296.8,296.8,0
9606.ENSP00000417763,104.7,1.0,298.6,1.0,-193.90000000000003,193.90000000000003,0
9606.ENSP00000409346,0.5,1.0,298.6,1.0,-298.1,298.1,0
9606.ENSP00000353652,0.2,1.0,298.6,1.0,-298.40000000000003,298.40000000000003,0
9606.ENSP00000264029,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000291526,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000415430,26.2,1.0,298.6,1.0,-272.40000000000003,272.40000000000003,0
9606.ENSP00000417303,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000216214,8.2,1.0,298.6,1.0,-290.40000000000003,290.40000000000003,0
9606.ENSP00000355157,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000429200,8.9,1.0,298.6,1.0,-289.70000000000005,289.70000000000005,0
9606.ENSP00000272645,48.5,1.0,298.6,1.0,-250.1,250.1,0
9606.ENSP00000380150,1.6,1.0,298.6,1.0,-297.0,297.0,0
9606.ENSP00000339730,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000347834,14.7,1.0,298.6,1.0,-283.90000000000003,283.90000000000003,0
9606.ENSP00000417583,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000273695,6.2,1.0,298.6,1.0,-292.40000000000003,292.40000000000003,0
9606.ENSP00000348010,5.7,1.0,298.6,1.0,-292.90000000000003,292.90000000000003,0
9606.ENSP00000339626,4.0,1.0,298.6,1.0,-294.6,294.6,0
9606.ENSP00000305494,6.1,1.0,298.6,1.0,-292.5,292.5,0
9606.ENSP00000421191,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000414558,45.4,1.0,298.6,1.0,-253.2,253.2,0
9606.ENSP00000369573,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000351937,21.6,1.0,298.6,1.0,-277.0,277.0,0
9606.ENSP00000312027,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000334657,1.4,1.0,298.6,1.0,-297.20000000000005,297.20000000000005,0
9606.ENSP00000305069,16.2,1.0,298.6,1.0,-282.40000000000003,282.40000000000003,0
9606.ENSP00000319141,22.7,1.0,298.6,1.0,-275.90000000000003,275.90000000000003,0
9606.ENSP00000240335,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000354483,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000268766,3.4,1.0,298.6,1.0,-295.20000000000005,295.20000000000005,0
9606.ENSP00000289166,0.9,1.0,298.6,1.0,-297.70000000000005,297.70000000000005,0
9606.ENSP00000311665,26.1,1.0,298.6,1.0,-272.5,272.5,0
9606.ENSP00000263388,7.3,1.0,298.6,1.0,-291.3,291.3,0
9606.ENSP00000321963,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000265342,8.1,1.0,298.6,1.0,-290.5,290.5,0
9606.ENSP00000376910,0.6,1.0,298.6,1.0,-298.0,298.0,0
9606.ENSP00000389414,3.9,1.0,298.6,1.0,-294.70000000000005,294.70000000000005,0
9606.ENSP00000355166,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000258415,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000253693,22.4,1.0,298.6,1.0,-276.20000000000005,276.20000000000005,0
9606.ENSP00000358033,10.0,1.0,298.6,1.0,-288.6,288.6,0
9606.ENSP00000357052,50.0,1.0,298.6,1.0,-248.6,248.6,0
9606.ENSP00000349687,16.0,1.0,298.6,1.0,-282.6,282.6,0
9606.ENSP00000344563,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000429190,21.9,1.0,298.6,1.0,-276.70000000000005,276.70000000000005,0
9606.ENSP00000370968,69.6,1.0,298.6,1.0,-229.00000000000003,229.00000000000003,0
9606.ENSP00000473842,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000295824,0.8,1.0,298.6,1.0,-297.8,297.8,0
9606.ENSP00000297625,4.9,1.0,298.6,1.0,-293.70000000000005,293.70000000000005,0
9606.ENSP00000453502,21.0,1.0,298.6,1.0,-277.6,277.6,0
9606.ENSP00000223642,37.9,1.0,298.6,1.0,-260.70000000000005,260.70000000000005,0
9606.ENSP00000367714,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000431287,0.7,1.0,298.6,1.0,-297.90000000000003,297.90000000000003,0
9606.ENSP00000364847,63.2,1.0,298.6,1.0,-235.40000000000003,235.40000000000003,0
9606.ENSP00000377944,48.3,1.0,298.6,1.0,-250.3,250.3,0
9606.ENSP00000465517,26.1,1.0,298.6,1.0,-272.5,272.5,0
9606.ENSP00000275358,1.1,1.0,298.6,1.0,-297.5,297.5,0
9606.ENSP00000361486,24.2,1.0,298.6,1.0,-274.40000000000003,274.40000000000003,0
9606.ENSP00000295148,17.7,1.0,298.6,1.0,-280.90000000000003,280.90000000000003,0
9606.ENSP00000301336,1.5,1.0,298.6,1.0,-297.1,297.1,0
9606.ENSP00000366347,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000359520,6.4,1.0,298.6,1.0,-292.20000000000005,292.20000000000005,0
9606.ENSP00000400995,19.5,1.0,298.6,1.0,-279.1,279.1,0
9606.ENSP00000350369,46.6,1.0,298.6,1.0,-252.00000000000003,252.00000000000003,0
9606.ENSP00000363136,0.9,1.0,298.6,1.0,-297.70000000000005,297.70000000000005,0
9606.ENSP00000365533,2.3,1.0,298.6,1.0,-296.3,296.3,0
9606.ENSP00000364034,1.0,1.0,298.6,1.0,-297.6,297.6,0
9606.ENSP00000356214,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000306497,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000356430,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000404281,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000379651,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000483430,1.0,1.0,298.6,1.0,-297.6,297.6,0
9606.ENSP00000340004,1.8,1.0,298.6,1.0,-296.8,296.8,0
9606.ENSP00000360958,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000378492,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000359768,4.6,1.0,298.6,1.0,-294.0,294.0,0
9606.ENSP00000262895,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000295619,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000286808,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000380251,29.4,1.0,298.6,1.0,-269.20000000000005,269.20000000000005,0
9606.ENSP00000332185,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000369127,458.7,1.0,298.6,1.0,160.09999999999997,160.09999999999997,0
9606.ENSP00000403910,128.9,1.0,298.6,1.0,-169.70000000000002,169.70000000000002,0
9606.ENSP00000348708,23.4,1.0,298.6,1.0,-275.20000000000005,275.20000000000005,0
9606.ENSP00000355797,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000344828,3.5,1.0,298.6,1.0,-295.1,295.1,0
9606.ENSP00000330485,3.9,1.0,298.6,1.0,-294.70000000000005,294.70000000000005,0
9606.ENSP00000264661,0.4,1.0,298.6,1.0,-298.20000000000005,298.20000000000005,0
9606.ENSP00000344140,1.0,1.0,298.6,1.0,-297.6,297.6,0
9606.ENSP00000329357,27.0,1.0,298.6,1.0,-271.6,271.6,0
9606.ENSP00000400312,14.4,1.0,298.6,1.0,-284.20000000000005,284.20000000000005,0
9606.ENSP00000215659,10.6,1.0,298.6,1.0,-288.0,288.0,0
9606.ENSP00000330237,14.7,1.0,298.6,1.0,-283.90000000000003,283.90000000000003,0
9606.ENSP00000359170,52.5,1.0,298.6,1.0,-246.1,246.1,0
9606.ENSP00000406220,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000483936,1.2,1.0,298.6,1.0,-297.40000000000003,297.40000000000003,0
9606.ENSP00000358802,2.0,1.0,298.6,1.0,-296.6,296.6,0
9606.ENSP00000392678,40.6,1.0,298.6,1.0,-258.0,258.0,0
9606.ENSP00000306138,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000262648,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000326238,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000300413,119.2,1.0,298.6,1.0,-179.40000000000003,179.40000000000003,0
9606.ENSP00000269834,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000262189,5.4,1.0,298.6,1.0,-293.20000000000005,293.20000000000005,0
9606.ENSP00000260010,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000355082,0.1,1.0,298.6,1.0,-298.5,298.5,0
9606.ENSP00000306752,433.8,1.0,298.6,1.0,135.2,135.2,0
9606.ENSP00000320416,2.1,1.0,298.6,1.0,-296.5,296.5,0
9606.ENSP00000251472,1.7,1.0,298.6,1.0,-296.90000000000003,296.90000000000003,0
9606.ENSP00000405388,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000334836,4.0,1.0,298.6,1.0,-294.6,294.6,0
9606.ENSP00000306080,51.5,1.0,298.6,1.0,-247.1,247.1,0
9606.ENSP00000479618,96.7,1.0,298.6,1.0,-201.90000000000003,201.90000000000003,0
9606.ENSP00000221801,483.8,1.0,298.6,1.0,185.2,185.2,0
9606.ENSP00000280357,101.4,1.0,298.6,1.0,-197.2,197.2,0
9606.ENSP00000417677,47.1,1.0,298.6,1.0,-251.50000000000003,251.50000000000003,0
9606.ENSP00000247003,37.5,1.0,298.6,1.0,-261.1,261.1,1
9606.ENSP00000387982,4.3,1.0,298.6,1.0,-294.3,294.3,0
9606.ENSP00000320309,100.7,1.0,298.6,1.0,-197.90000000000003,197.90000000000003,0
9606.ENSP00000296506,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000369862,23.9,1.0,298.6,1.0,-274.70000000000005,274.70000000000005,0
9606.ENSP00000215885,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000295802,32.2,1.0,298.6,1.0,-266.40000000000003,266.40000000000003,0
9606.ENSP00000483547,42.6,1.0,298.6,1.0,-256.0,256.0,0
9606.ENSP00000261937,2.4,1.0,298.6,1.0,-296.20000000000005,296.20000000000005,0
9606.ENSP00000472985,2553.0,1.0,298.6,1.0,2254.4,2254.4,0
9606.ENSP00000387282,161.2,1.0,298.6,1.0,-137.40000000000003,137.40000000000003,0
9606.ENSP00000316338,30.4,1.0,298.6,1.0,-268.20000000000005,268.20000000000005,0
9606.ENSP00000375063,0.0,0.0,298.6,1.0,-298.6,298.6,0
9606.ENSP00000308770,0.8,1.0,298.6,1.0,-297.8,297.8,0
9606.ENSP00000270142,481.2,1.0,298.6,1.0,182.59999999999997,182.59999999999997,0
9606.ENSP00000396918,21.3,1.0,298.6,1.0,-277.3,277.3,0
9606.ENSP00000324127,6.5,1.0,298.6,1.0,-292.1,292.1,0
9606.ENSP00000353094,105.3,1.0,298.6,1.0,-193.3,193.3,0
