protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6
9606.ENSP00000280200,1.6901013627466464e-05,1.1141851649574736e-05,5.368341552074681e-06
9606.ENSP00000450456,4.002822885972585e-06,1.3179606102646946e-06,3.308794085495695e-07
9606.ENSP00000265276,1.8968669880802845e-05,1.224523217990121e-05,5.553716856475385e-06
9606.ENSP00000401264,5.285778140870435e-05,1.7830928894916444e-05,4.827848718778109e-06
9606.ENSP00000403465,6.367076354126607e-06,2.5866246563616844e-06,6.798001766922503e-07
9606.ENSP00000207457,2.0840420621402966e-05,1.9079475510108368e-05,1.1683377267855107e-05
9606.ENSP00000350295,5.052339310636472e-06,2.9435032458085947e-06,1.0848905432403578e-06
9606.ENSP00000440689,3.575344706083111e-05,1.4959344709104756e-05,4.362431060687005e-06
9606.ENSP00000342790,2.220034272879506e-06,7.827158928466611e-07,1.759590717189956e-07
9606.ENSP00000413697,4.013710251161195e-05,2.5970517139041896e-05,1.2562213223397823e-05
9606.ENSP00000246957,0.0001856863921142,7.065152241608717e-05,2.1238955248386027e-05
9606.ENSP00000369318,0.0001072708758067,5.780496528074011e-05,2.487415227687958e-05
9606.ENSP00000361021,0.0001941469968572,9.867617100724188e-05,3.7623280789343174e-05
9606.ENSP00000259750,4.494049378806731e-05,3.138684692567606e-05,1.6813558553644173e-05
9606.ENSP00000335082,3.711216121500272e-06,1.3194224063881204e-06,3.313520019223637e-07
9606.ENSP00000390621,6.577759006706492e-05,2.139631632372253e-05,6.066020538123843e-06
9606.ENSP00000448323,6.916383445002256e-05,4.018367306611993e-05,1.997852581580927e-05
9606.ENSP00000460850,6.844382258291252e-05,3.185988642388198e-05,1.149836785808812e-05
9606.ENSP00000375914,9.605243829379464e-06,4.783274857360601e-06,1.960925263296602e-06
9606.ENSP00000252102,4.918143202127031e-05,2.0909503559388455e-05,7.1235133739142795e-06
9606.ENSP00000336894,9.91425488055524e-06,4.486093233821877e-06,1.3772467685176449e-06
9606.ENSP00000369146,3.0410608119038102e-06,1.284587230862461e-06,3.678344073968733e-07
9606.ENSP00000236918,2.2947583783184976e-05,7.685085188247137e-06,1.8795363189070992e-06
9606.ENSP00000297354,1.5866024315724325e-07,4.551416305718776e-08,1.0547680304935712e-08
9606.ENSP00000325738,7.547588004919895e-06,2.5234745050907153e-06,7.612764982910306e-07
9606.ENSP00000326652,4.606945423002903e-07,1.6865996118490072e-07,4.465469473526618e-08
9606.ENSP00000358921,0.0001454272971256,5.38538958550067e-05,1.5344915643545296e-05
9606.ENSP00000259708,6.553403459064935e-05,3.1911235875547596e-05,1.2789312597271489e-05
9606.ENSP00000357766,1.356723505517e-05,4.849768185362012e-06,1.2175100845707015e-06
9606.ENSP00000428288,1.0149731013832404e-05,4.459959351115462e-06,1.3450350889923826e-06
9606.ENSP00000295767,4.913063629703223e-05,3.310927263025865e-05,1.6512790299531485e-05
9606.ENSP00000299565,1.2953811785746024e-05,7.321471813823854e-06,2.8985224735652695e-06
9606.ENSP00000334330,3.424665343483638e-07,1.263547899678277e-07,2.7442932529088775e-08
9606.ENSP00000301452,1.8548927061643568e-06,7.345215831049334e-07,2.0012588370582938e-07
9606.ENSP00000282908,1.0865934139926496e-05,3.870082306896895e-06,1.0107716977712145e-06
