protein,RW_target_10,RW_target_20,RW_target_30
9606.ENSP00000306100,1.05824738056981e-05,9.27067594602704e-06,9.232054253516251e-06
9606.ENSP00000305255,8.086024172371253e-05,7.534869655501097e-05,7.494993042200804e-05
9606.ENSP00000387020,1.0938284731309975e-06,1.0868158142329776e-06,1.085949861590052e-06
9606.ENSP00000389714,0.0001060664726537,9.97621173155494e-05,9.938074799720198e-05
9606.ENSP00000354960,4.235202504787594e-05,3.01830568787409e-05,2.9874003303120844e-05
9606.ENSP00000378260,4.57584646937903e-05,4.768316648551263e-05,4.777489084517583e-05
9606.ENSP00000448536,3.299130412415252e-06,3.2626617212372366e-06,3.2580046536168084e-06
9606.ENSP00000376168,4.470538260648027e-05,4.9224519898416474e-05,4.9400772695662454e-05
9606.ENSP00000370373,0.0001896770118037,0.000192282765056,0.0001922120864037
9606.ENSP00000305810,6.869166099932045e-05,6.439393473556265e-05,6.408440094674006e-05
9606.ENSP00000323280,1.2710740520560648e-05,1.039814651448978e-05,1.0319592547602952e-05
9606.ENSP00000361716,0.0001616976369405,0.0001528179855085,0.0001520703808637
9606.ENSP00000284273,6.460012082243338e-05,6.202975055202842e-05,6.190421845531091e-05
9606.ENSP00000355387,1.251559478987474e-05,1.1459965207905045e-05,1.1404881661292166e-05
9606.ENSP00000310036,2.6003564926213585e-05,2.184508048230782e-05,2.172345921280794e-05
9606.ENSP00000340668,6.080254934204277e-06,5.447131570690544e-06,5.430283181340201e-06
9606.ENSP00000377284,6.671289884252474e-05,6.0628994106082246e-05,6.028534335200675e-05
9606.ENSP00000397239,8.776981303526554e-06,9.73653186520096e-06,9.771814802661538e-06
9606.ENSP00000346414,9.82365818344988e-05,0.0001065191463567,0.0001069413337972
9606.ENSP00000380365,8.696058102941606e-06,8.165698091033846e-06,8.145418178173713e-06
9606.ENSP00000352257,0.0002673502021934,0.0002795979380607,0.0002801395603455
9606.ENSP00000407112,1.1531052450663992e-06,1.0893793387367625e-06,1.0860690053959845e-06
9606.ENSP00000339381,3.397918044356629e-05,3.0570234230253845e-05,3.0413073545787483e-05
9606.ENSP00000306887,1.1728635399776977e-05,1.1406039448047522e-05,1.1402130439819302e-05
9606.ENSP00000307831,7.937102054711431e-06,6.028373263688991e-06,5.974607574898982e-06
9606.ENSP00000291574,5.964876982034184e-05,5.462654371513054e-05,5.431130193755962e-05
9606.ENSP00000419591,3.220874350517988e-05,3.050891791644972e-05,3.0410201361519285e-05
9606.ENSP00000226760,2.1231293430901133e-05,1.96257715288084e-05,1.95502088899957e-05
9606.ENSP00000360076,0.0001070368671207,9.776609658729284e-05,9.721725655253977e-05
9606.ENSP00000362399,0.0001608407474122,0.0001521214289823,0.0001515172043582
9606.ENSP00000216271,0.0001652052596909,0.0001770748203853,0.0001775266136974
9606.ENSP00000402661,1.6506737665622495e-05,1.7326290617347695e-05,1.7372014553984627e-05
9606.ENSP00000446054,3.4942038382723695e-06,3.2667981031409e-06,3.25813380186446e-06
9606.ENSP00000226299,0.0001062485171132,0.0001022662836476,0.00010208459571
9606.ENSP00000284142,1.8798473320202905e-05,1.9014190911548212e-05,1.9004388377652504e-05
9606.ENSP00000369699,6.710383786412422e-06,6.00940256845206e-06,5.974295618216274e-06
9606.ENSP00000451648,0.0001314272230956,0.0001327987702097,0.0001330125960521
9606.ENSP00000348645,3.153963916702196e-05,2.7267931727692485e-05,2.7152556867804375e-05
9606.ENSP00000288087,4.222057214064989e-06,4.340903615229763e-06,4.343500222603325e-06
9606.ENSP00000376587,2.4337623472092673e-05,2.3401898943120617e-05,2.334960845473688e-05
9606.ENSP00000334922,8.762166544329375e-06,7.728409400442615e-06,7.610855391249061e-06
