protein,RWR_positive_0.6_0.1,RWR_positive_0.6_0.2,RWR_positive_0.6_0.3,RWR_positive_0.6_0.4,RWR_positive_0.6_0.5,RWR_positive_0.6_0.6,RWR_positive_0.6_0.7,RWR_positive_0.6_0.8,RWR_positive_0.6_0.9,RWR_positive_0.6_1.0,Target,label
9606.ENSP00000260953,8.228629785340515e-07,1.2481785600505917e-06,1.5455212261584826e-06,2.6318654766755247e-06,2.6318654766755247e-06,2.6318654766755247e-06,2.6318654766755247e-06,2.6318654766755247e-06,3.861332009657509e-06,6.173890524713865e-06,9606.ENSP00000358840,0
9606.ENSP00000418008,3.549241567058819e-05,4.656282138045341e-05,4.656282138045341e-05,5.228402842275218e-05,9.671172887148312e-05,0.0001006960485959,0.0001216611958367,0.0001216611958367,0.0001257676465155,0.0001710654276197,9606.ENSP00000358840,0
9606.ENSP00000371607,2.5941521404321274e-05,2.8549413081396404e-05,2.8549413081396404e-05,3.1064516383430366e-05,5.0126728366034194e-05,5.113916843864188e-05,5.732920111094969e-05,5.732920111094969e-05,5.834776638421502e-05,6.094235568748834e-05,9606.ENSP00000358840,0
9606.ENSP00000401980,6.26010492500709e-05,8.110851536345482e-05,8.110851536345482e-05,8.706878502297012e-05,0.0001293297849319,0.0008992443023833,0.0009890907679571,0.0009890907679571,0.0010254750988102,0.0010657765721891,9606.ENSP00000358840,0
9606.ENSP00000328570,0.0001222628494415,0.0046998456821602,0.0046998456821602,0.0047518799148755,0.0104907510724653,0.0105032665172403,0.0106399940228556,0.0106399940228556,0.0106722779072814,0.0106883847103461,9606.ENSP00000358840,0
9606.ENSP00000359675,9.02474285214237e-06,1.16203106809794e-05,1.16203106809794e-05,7.44770774707693e-05,9.385508495070712e-05,9.715119798790642e-05,0.0001048688402638,0.0001048688402638,0.0001387780801002,0.0001442432188195,9606.ENSP00000358840,1
9606.ENSP00000308610,2.6176445406625887e-05,4.9591247579000066e-05,4.9591247579000066e-05,7.069102679674441e-05,0.0001146540304244,0.0001225302595573,0.0001952338527444,0.0001952338527444,0.0002279761780233,0.0002559038305849,9606.ENSP00000358840,0
9606.ENSP00000085068,3.844895271463047e-05,5.5614025488259154e-05,5.5614025488259154e-05,6.296909681892645e-05,0.000108547916567,0.0001145140003399,0.0001992346923725,0.0001992346923725,0.0002028337188329,0.0002167176752032,9606.ENSP00000358840,0
9606.ENSP00000389903,1.5198507340415057e-05,1.5861079289821087e-05,1.5861079289821087e-05,1.6420645480001177e-05,1.941210849137069e-05,2.1111762422112133e-05,2.6111473424903387e-05,2.6111473424903387e-05,2.687375207309626e-05,2.8671805973449588e-05,9606.ENSP00000358840,0
9606.ENSP00000245816,8.920676521044334e-05,0.0046694001719349,0.0046694001719349,0.0046717067862297,0.0047552051218297,0.0047576939007019,0.0047664940513675,0.0047664940513675,0.0047687898388176,0.0047966025482881,9606.ENSP00000358840,1
9606.ENSP00000238379,8.668180905761094e-06,2.439646052475393e-05,2.439646052475393e-05,4.22679202479559e-05,0.0001064271662323,0.0001096247747804,0.0001496741665783,0.0001496741665783,0.0001516137493276,0.0001567886323633,9606.ENSP00000358840,0
9606.ENSP00000310873,0.0116535451251203,0.0117298575525789,0.0117298575525789,0.0117344666811125,0.0119946478963739,0.0119991225929054,0.0120480643202455,0.0120480643202455,0.0120538296081534,0.0120644591201815,9606.ENSP00000358840,0
9606.ENSP00000428263,1.4380231293395886e-06,2.869761583762147e-06,2.869761583762147e-06,3.4547002151766235e-06,3.993699873523637e-05,4.028442442840912e-05,4.126645037023767e-05,4.126645037023767e-05,4.144998932842647e-05,4.1884121724401975e-05,9606.ENSP00000358840,0
