protein,RWR_target_0.2,RWR_target_0.4,RWR_target_0.6,Target,label
9606.ENSP00000469981,3.9096053621176814e-05,2.140777078201656e-05,8.796749391661547e-06,9606.ENSP00000264932,0
9606.ENSP00000337358,1.67828212742894e-05,1.1293085845787054e-05,5.41544367110383e-06,9606.ENSP00000264932,0
9606.ENSP00000370882,0.0001690407226892,0.0001304140395751,6.701083121070489e-05,9606.ENSP00000264932,0
9606.ENSP00000354415,1.943203437488951e-05,1.0010340186844014e-05,3.804541309098344e-06,9606.ENSP00000264932,0
9606.ENSP00000037869,4.630374225035328e-05,3.506380291671022e-05,1.7995822387093113e-05,9606.ENSP00000264932,0
9606.ENSP00000317159,0.0013272562378629,0.001532146533991,0.0012665198497381,9606.ENSP00000264932,0
9606.ENSP00000326219,0.0001158819610195,7.823158226073841e-05,3.667078546630197e-05,9606.ENSP00000264932,0
9606.ENSP00000364204,8.193856840180983e-05,5.001012636946789e-05,2.340323988648931e-05,9606.ENSP00000264932,0
9606.ENSP00000235329,8.033602957620859e-05,5.108755928474379e-05,2.4942605822762127e-05,9606.ENSP00000264932,0
9606.ENSP00000236980,3.793583812896959e-05,3.347954418037627e-05,1.9887167027835117e-05,9606.ENSP00000264932,0
9606.ENSP00000379047,1.0005255275952122e-05,5.284991875057619e-06,1.8214075216331047e-06,9606.ENSP00000264932,0
9606.ENSP00000354223,0.0001641523328399,0.0001444443870633,8.135575141756392e-05,9606.ENSP00000264932,0
9606.ENSP00000396954,1.1634223637277056e-05,5.684971716099702e-06,2.0875228329193756e-06,9606.ENSP00000264932,1
9606.ENSP00000258955,1.6584337337381845e-06,9.235967346410012e-07,4.167994401520889e-07,9606.ENSP00000264932,0
9606.ENSP00000262507,0.0004419865325944,0.0003645303625505,0.000198387664294,9606.ENSP00000264932,0
9606.ENSP00000436773,5.70805070383824e-06,2.5668884343143476e-06,9.002961738272029e-07,9606.ENSP00000264932,0
9606.ENSP00000305138,7.738945674489291e-06,3.335844385043708e-06,1.0907495396218497e-06,9606.ENSP00000264932,0
9606.ENSP00000265070,8.134921713133389e-05,4.8159181198347245e-05,2.207195920363012e-05,9606.ENSP00000264932,0
9606.ENSP00000285083,2.748238230715202e-05,2.147316178982999e-05,1.1675550679397594e-05,9606.ENSP00000264932,0
9606.ENSP00000312770,1.481911207148141e-06,5.551455688481847e-07,1.5025449026422824e-07,9606.ENSP00000264932,0
9606.ENSP00000361993,3.864456260053302e-05,2.1817492621120255e-05,8.246278750927218e-06,9606.ENSP00000264932,0
9606.ENSP00000446252,0.0001669300929717,0.0001137509867519,5.620360829810725e-05,9606.ENSP00000264932,0
9606.ENSP00000417190,1.7139372790835758e-05,9.957406152321158e-06,4.203169707568732e-06,9606.ENSP00000264932,0
9606.ENSP00000072869,1.749306256590917e-05,1.1757435442668555e-05,5.4972923728914096e-06,9606.ENSP00000264932,0
