protein,RWR_positive_0.4_0.1,RWR_positive_0.4_0.2,RWR_positive_0.4_0.3,RWR_positive_0.4_0.4,RWR_positive_0.4_0.5,RWR_positive_0.4_0.6,RWR_positive_0.4_0.7,RWR_positive_0.4_0.8,RWR_positive_0.4_0.9,RWR_positive_0.4_1.0,Target,label
9606.ENSP00000216254,0.0015766757234193,0.0026436074888508,0.003531907794644,0.0038188794200815,0.004342658493286,0.0049990382010184,0.0073281757151607,0.0078215297876806,0.008750695616046,0.0149379583971963,9606.ENSP00000268379,1
9606.ENSP00000387262,0.0013128656308575,0.0033902156318566,0.0045750609734407,0.004943703497311,0.0051367012286705,0.0052717263481157,0.0060879872739395,0.0067703779097563,0.0174441138369288,0.0216421558600829,9606.ENSP00000268379,0
9606.ENSP00000368318,4.254970026575365e-05,0.000119740476439,0.0002012505671479,0.0002399875689086,0.000290550813428,0.0003256458979724,0.0003970918067702,0.0004217838093132,0.0004833400841643,0.0005287803953273,9606.ENSP00000268379,0
9606.ENSP00000273986,0.0010593500952599,0.0012152943041645,0.0015306150638029,0.0017585675440613,0.0018912414647485,0.001920503988968,0.0033261213789362,0.0034681720991783,0.0037840898904198,0.0043542859287194,9606.ENSP00000268379,0
9606.ENSP00000264093,0.0016569393765772,0.0018906251091702,0.0025841202463446,0.0028319225942436,0.0030293517073598,0.0031937384909803,0.0047814667572286,0.0052231286182258,0.0059958929882004,0.0064104907946778,9606.ENSP00000268379,0
9606.ENSP00000315118,0.0002150190018926,0.0003227689027078,0.0016138338228874,0.0021024492492894,0.0022404092190074,0.0023105808736467,0.0038022371017668,0.008040800392972,0.009214098618834,0.0094302807344455,9606.ENSP00000268379,0
9606.ENSP00000264193,0.000139935916302,0.0002003235434391,0.000375677865123,0.0007114588726718,0.0007836538779538,0.0008160236019827,0.0010811667522564,0.0011062044208283,0.0012094172939498,0.0016716917932989,9606.ENSP00000268379,0
9606.ENSP00000302037,4.802360461356887e-05,0.0001434620122961,0.0002644302526437,0.0003877790152297,0.0004005950800334,0.0004312350017291,0.0016536240460766,0.0019146462246102,0.0019591973002419,0.0043889180188819,9606.ENSP00000268379,0
9606.ENSP00000301329,7.539230196175582e-05,0.0002024331529857,0.0002742683726443,0.0003111002484588,0.000346701503179,0.0003883824435238,0.0004882943337484,0.0005264125258449,0.000599195935968,0.0006895856521346,9606.ENSP00000268379,0
9606.ENSP00000481127,2.813234472495838e-06,6.341511345498407e-06,6.472628833753308e-05,6.611934308122965e-05,6.784894727441131e-05,6.971983015728475e-05,0.0001169611961147,0.0001193651232499,0.0001241342625343,0.0001284431982227,9606.ENSP00000268379,0
9606.ENSP00000273968,5.659983978656901e-05,8.188603813102555e-05,0.0002420107768701,0.0002437418380196,0.0002474397786093,0.0002709925399916,0.0002728736842838,0.0002758870269211,0.0002803353244763,0.0002859300641824,9606.ENSP00000268379,0
9606.ENSP00000267103,9.105834150480776e-05,0.0002522726094183,0.0004050397722872,0.0004311781760438,0.0004629834320098,0.0005232965516688,0.000548948985552,0.0006158780237517,0.000677002446943,0.000729330057171,9606.ENSP00000268379,0
