protein,RW_positive_30_0.1,RW_positive_30_0.2,RW_positive_30_0.3,RW_positive_30_0.4,RW_positive_30_0.5,RW_positive_30_0.6,RW_positive_30_0.7,RW_positive_30_0.8,RW_positive_30_0.9,RW_positive_30_1.0,Target,label
9606.ENSP00000371607,6.779060822736938e-05,6.779060822736938e-05,6.779060822736938e-05,6.779060822736938e-05,0.0001129832071455,0.0001581742490088,0.0001807698954507,0.0002485572931618,0.0003615401383285,0.0004067327590746,9606.ENSP00000276689,0
9606.ENSP00000401980,0.000359484256478,0.000359484256478,0.000359484256478,0.000359484256478,0.0005991382713546,0.0008387877896893,0.0009586136729922,0.0013180917594581,0.0019172297979821,0.0021568837037193,9606.ENSP00000276689,0
9606.ENSP00000328570,0.0002115883398801,0.0002115883398801,0.0002115883398801,0.0002115883398801,0.0003526430882629,0.0004936970581184,0.0005642233154503,0.0007758040883345,0.0011284417487331,0.0012694976103375,9606.ENSP00000276689,0
9606.ENSP00000359675,0.0001828235763241,0.0001828235763241,0.0001828235763241,0.0001828235763241,0.0003047060308745,0.0004265793031663,0.0004875188060395,0.000670335972245,0.0009750487333803,0.0010969292161462,9606.ENSP00000276689,0
9606.ENSP00000308610,0.0001540870107419,0.0001540870107419,0.0001540870107419,0.0001540870107419,0.0002568015588622,0.0003595135676732,0.000410867472965,0.0005649343984259,0.0008217240247176,0.0009244409484381,9606.ENSP00000276689,0
9606.ENSP00000085068,0.0001992651159525,0.0001992651159525,0.0001992651159525,0.0001992651159525,0.0003321038020658,0.0004649424154195,0.0005313601650414,0.0007306161569431,0.0010627140582073,0.0011955540030612,9606.ENSP00000276689,0
9606.ENSP00000389903,3.2867347727005836e-05,3.2867347727005836e-05,3.2867347727005836e-05,3.2867347727005836e-05,5.477861486724578e-05,7.668958824069705e-05,8.764509402681142e-05,0.0001205117678182,0.0001752901180225,0.0001972014042621,9606.ENSP00000276689,0
9606.ENSP00000245816,7.80666887294501e-05,7.80666887294501e-05,7.80666887294501e-05,7.80666887294501e-05,0.0001301073971262,0.000182149311513,0.0002081686852761,0.0002862290730263,0.0004163306566624,0.0004683725837821,9606.ENSP00000276689,0
9606.ENSP00000238379,0.0001129834199673,0.0001129834199673,0.0001129834199673,0.0001129834199673,0.0001883040858956,0.0002636230638017,0.0003012825836776,0.0004142618490732,0.0006025647635397,0.0006778854622098,9606.ENSP00000276689,1
9606.ENSP00000310873,9.24550768104382e-05,9.24550768104382e-05,9.24550768104382e-05,9.24550768104382e-05,0.0001540841803944,0.0002157145063392,0.0002465269390086,0.0003389685480215,0.0004930418035655,0.0005546731845242,9606.ENSP00000276689,1
9606.ENSP00000428263,1.2325944226176944e-05,1.2325944226176944e-05,1.2325944226176944e-05,1.2325944226176944e-05,2.0542832771752728e-05,2.8759753149643075e-05,3.2868065318325534e-05,4.519323056229041e-05,6.573552445843234e-05,7.395251623165677e-05,9606.ENSP00000276689,0
9606.ENSP00000288111,0.0001438038852938,0.0001438038852938,0.0001438038852938,0.0001438038852938,0.000239668010181,0.0003355315893713,0.0003834619092231,0.0005272557791613,0.0007669173974136,0.0008627827119198,9606.ENSP00000276689,0
9606.ENSP00000216254,0.0007354787085205,0.0007354787085205,0.0007354787085205,0.0007354787085205,0.001225759711815,0.0017160508141387,0.0019611806783359,0.0026965925935655,0.0039222949708346,0.0044125878484919,9606.ENSP00000276689,0
9606.ENSP00000387262,0.0005279724136926,0.0005279724136926,0.0005279724136926,0.0005279724136926,0.0008799326024018,0.0012318881636019,0.0014078606036491,0.0019357899000169,0.0028156968182884,0.003167661910993,9606.ENSP00000276689,0
9606.ENSP00000368318,9.860344653134234e-05,9.860344653134234e-05,9.860344653134234e-05,9.860344653134234e-05,0.0001643371433601,0.0002300745618413,0.000262941179244,0.0003615427558543,0.0005258749697532,0.0005916097034059,9606.ENSP00000276689,0
9606.ENSP00000273986,0.0001541054698463,0.0001541054698463,0.0001541054698463,0.0001541054698463,0.0002568244781286,0.0003595412017602,0.0004108951725356,0.000564966485399,0.000821768418973,0.0009244921566278,9606.ENSP00000276689,0
9606.ENSP00000264093,0.000316475474392,0.000316475474392,0.000316475474392,0.000316475474392,0.0005274032737361,0.0007383235206361,0.0008437703654635,0.0011601397345657,0.0016874728607945,0.0018984151101903,9606.ENSP00000276689,1
9606.ENSP00000315118,0.0001109436707338,0.0001109436707338,0.0001109436707338,0.0001109436707338,0.0001848981410148,0.0002588524803286,0.0002958273762487,0.0004067563968419,0.0005916439440625,0.0006656006844423,9606.ENSP00000276689,0
9606.ENSP00000264193,0.0001520093464932,0.0001520093464932,0.0001520093464932,0.0001520093464932,0.0002533481892896,0.0003546863881638,0.0004053557640872,0.0005573640919465,0.0008107114881568,0.0009120505383179,9606.ENSP00000276689,0
9606.ENSP00000302037,6.573744758497924e-05,6.573744758497924e-05,6.573744758497924e-05,6.573744758497924e-05,0.0001095608058676,0.0001533828653919,0.0001752938424033,0.0002410274810245,0.0003505870336084,0.0003944105919799,9606.ENSP00000276689,0
9606.ENSP00000301329,0.0001561212775413,0.0001561212775413,0.0001561212775413,0.0001561212775413,0.000260200115008,0.0003642787123681,0.0004163173034612,0.0005724342736357,0.0008326319693878,0.0009367111306346,9606.ENSP00000276689,1
9606.ENSP00000481127,1.0270619895891286e-05,1.0270619895891286e-05,1.0270619895891286e-05,1.0270619895891286e-05,1.711775462354126e-05,2.3964935962794694e-05,2.7388542093831347e-05,3.7659342069673585e-05,5.477712375068222e-05,6.162426780065289e-05,9606.ENSP00000276689,0
9606.ENSP00000273968,2.4650491923239315e-05,4.313706358516356e-05,4.313706358516356e-05,4.930063823849195e-05,6.162508998386329e-05,6.778820443287259e-05,8.627577790321084e-05,9.860083355306416e-05,0.0001170889504464,0.0001232526556123,9606.ENSP00000276689,0
9606.ENSP00000267103,0.0001451640491723,0.0002540346358728,0.0002540346358728,0.0002903259301092,0.0003629057719081,0.0003991966623289,0.0005080692899355,0.0005806504741485,0.0006895222104503,0.0007258151090354,9606.ENSP00000276689,0
9606.ENSP00000351214,0.0001287429440708,0.0002252916892757,0.0002252916892757,0.000257475359831,0.0003218390702386,0.0003540223588061,0.0004505787328525,0.0005149465469003,0.0006114960015111,0.0006436878138629,9606.ENSP00000276689,1
9606.ENSP00000263702,0.0001314701548835,0.0002300708838447,0.0002300708838447,0.0002629376940603,0.000328670896124,0.0003615376990637,0.0004601401778927,0.0005258743403828,0.0006244748765311,0.0006573437203769,9606.ENSP00000276689,0
9606.ENSP00000403987,8.216600917876349e-06,1.4379302456291043e-05,1.4379302456291043e-05,1.643325413169805e-05,2.054165565823496e-05,2.2595695554628037e-05,2.875821246561827e-05,3.286654168732639e-05,3.9028918308758875e-05,4.10828670283081e-05,9606.ENSP00000276689,0
9606.ENSP00000406933,6.299750930338632e-05,0.0001102443293348,0.0001102443293348,0.0001259928885701,0.000157490147103,0.0001732387881929,0.0002204868997068,0.0002519849185773,0.0002992312456626,0.0003149815529468,9606.ENSP00000276689,0
9606.ENSP00000317177,6.299561209743842e-05,0.0001102412697946,0.0001102412697946,0.0001259902801393,0.0001574872694618,0.0001732361270114,0.0002204826960223,0.000251980158282,0.0002992263544001,0.0003149760668748,9606.ENSP00000276689,0
9606.ENSP00000441065,0.0001396913830831,0.0002444550591462,0.0002444550591462,0.0002793771709548,0.0003492183313937,0.0003841400575765,0.0004889080846623,0.0005587517807725,0.0006635163808823,0.0006984428182477,9606.ENSP00000276689,0
9606.ENSP00000360268,0.0004163096455158,0.0007285417304956,0.0007285417304956,0.0008326187453349,0.0010407743102405,0.0011448514342191,0.0014570837956853,0.0016652384510962,0.0019774701504502,0.0020815474490518,9606.ENSP00000276689,1
9606.ENSP00000288532,0.0001397001287841,0.0002444668607495,0.0002444668607495,0.0002793891362671,0.0003492304531391,0.0003841525249299,0.0004889269221166,0.0005587730702245,0.0006635395366174,0.0006984705978538,9606.ENSP00000276689,0
9606.ENSP00000429168,3.5611234125099145e-05,6.231665338418679e-05,6.231665338418679e-05,7.121863018255681e-05,8.902135687094415e-05,9.792322180146584e-05,0.0001246313695446,0.000142435640555,0.0001691411926003,0.0001780461725502,9606.ENSP00000276689,0
9606.ENSP00000238561,6.847964505141135e-05,0.0001198354966618,0.0001198354966618,0.0001369543188047,0.0001711902550596,0.0001883089316834,0.0002396683339611,0.0002739064057095,0.0003252623755543,0.0003423851376282,9606.ENSP00000276689,0
9606.ENSP00000386543,5.204258832236519e-05,9.107326604862465e-05,9.107326604862465e-05,0.0001040828692566,0.0001301022684856,0.0001431120026609,0.0001821439373088,0.0002081644279314,0.0002471942507327,0.0002602057893454,9606.ENSP00000276689,0
9606.ENSP00000317379,0.0001670861129241,0.0002923938627645,0.0002923938627645,0.0003341629599162,0.0004176987567916,0.0004594677666318,0.0005847818320035,0.0006683216379315,0.0007936289875942,0.0008354054843948,9606.ENSP00000276689,1
9606.ENSP00000355741,0.0001890016101242,0.0003307432052679,0.0003307432052679,0.0003779906510317,0.0004724820937553,0.0005197292812226,0.0006614796475332,0.0007559761070297,0.0008977177203632,0.0009449749995837,9606.ENSP00000276689,0
9606.ENSP00000327070,0.0007203974237199,0.0012606588279595,0.0012606588279595,0.0014407474955078,0.001800910293241,0.0019809976947726,0.00252129243745,0.0028814745455747,0.0034217369684483,0.0036018625542055,9606.ENSP00000276689,0
9606.ENSP00000469981,0.0002218503796029,0.0003882322343997,0.0003882322343997,0.0004436993258423,0.0005546220090764,0.0006100871287344,0.0007764735564705,0.0008873980223143,0.001053787436831,0.0011092548702436,9606.ENSP00000276689,0
9606.ENSP00000337358,5.752051129093161e-05,0.0001006592310659,0.0001006592310659,0.000115038498734,0.000143796737575,0.0001581760407134,0.0002013163239098,0.0002300756868862,0.0002732139328145,0.0002875952577596,9606.ENSP00000276689,0
9606.ENSP00000370882,0.0002739379488048,0.0004793649568455,0.0004793649568455,0.0005478424718603,0.0006847863987786,0.0007532628587796,0.0009587137683411,0.0010956710393656,0.0013010996408411,0.0013696030437131,9606.ENSP00000276689,0
9606.ENSP00000354415,0.0001095599327527,0.0001917272202263,0.0001917272202263,0.0002191168823628,0.0002738941529969,0.0003012835823028,0.0003834532544715,0.0004382321367302,0.0005203999407967,0.0005477919203258,9606.ENSP00000276689,0
9606.ENSP00000037869,9.861135549726896e-05,0.0001725640886434,0.0001725640886434,0.0001972149711946,0.0002465149045747,0.0002711656816245,0.0003451237407716,0.0003944267300539,0.0004683792740252,0.000493036226544,9606.ENSP00000276689,0
9606.ENSP00000317159,0.0006383542204275,0.0011170217767357,0.0011170217767357,0.0012765779101755,0.001595659457962,0.0017552137578604,0.0022339713177643,0.0025531030987622,0.0030317690980155,0.0031914275314193,9606.ENSP00000276689,0
9606.ENSP00000326219,0.0003451318189036,0.0006039645377313,0.0006039645377313,0.0006902422755956,0.0008627915813121,0.0009490689117228,0.0012079163643647,0.0013804748305119,0.0016393073456129,0.0017256018763873,9606.ENSP00000276689,0
9606.ENSP00000364204,0.0002177444184781,0.0006532295519718,0.000870973097335,0.000870973097335,0.0011975783709203,0.0013064486120129,0.0015241980872815,0.0016330679791281,0.0018508113207644,0.0020685541821876,9606.ENSP00000276689,0
9606.ENSP00000235329,0.0002026828951784,0.0006080423263483,0.0008107238754746,0.0008107238754746,0.0011147301192977,0.0012160681872046,0.0014187595297698,0.0015200975103653,0.001722778804833,0.0019254589788033,9606.ENSP00000276689,0
9606.ENSP00000236980,4.1085824705078267e-05,0.0001232529921253,0.0001643367450014,0.0001643367450014,0.0002259666180179,0.0002465082561684,0.0002875911814044,0.0003081338327319,0.0003492166615615,0.0003903007727785,9606.ENSP00000276689,0
9606.ENSP00000379047,2.4650850718899164e-05,7.395110787911108e-05,9.860139653028456e-05,9.860139653028456e-05,0.0001355757649434,0.0001479007205489,0.0001725518050079,0.0001848766933107,0.0002095266836477,0.0002341768458791,9606.ENSP00000276689,0
9606.ENSP00000354223,5.618182331090793e-05,0.0001684938688413,0.0002246551375719,0.0002246551375719,0.0003088926405325,0.0003369662281329,0.0003931414776161,0.0004212206531519,0.0004773718792421,0.0005335324349289,9606.ENSP00000276689,0
9606.ENSP00000396954,3.834384915535338e-05,0.0001150321513705,0.0001533762042527,0.0001533762042527,0.0002108911412506,0.0002300633586855,0.0002684076007426,0.0002875793379644,0.0003259233853896,0.0003642673163994,9606.ENSP00000276689,0
9606.ENSP00000258955,5.4776392062194645e-06,1.64330870120466e-05,2.191078783653211e-05,2.191078783653211e-05,3.012740057783958e-05,3.2866287483557244e-05,3.834389576695685e-05,4.108275265934935e-05,4.65604734927183e-05,5.203817840992997e-05,9606.ENSP00000276689,0
9606.ENSP00000262507,0.0003123213828075,0.0009368326427647,0.0012491019879234,0.0012491019879234,0.0017174917011288,0.001873607703601,0.0021859147818759,0.0023420455108862,0.0026542896521277,0.0029665569163626,9606.ENSP00000276689,0
9606.ENSP00000436773,2.3279422748601064e-05,6.983970342844259e-05,9.311958910984686e-05,9.311958910984686e-05,0.0001280404158023,0.0001396807147102,0.0001629596672501,0.0001745997697071,0.000197879823645,0.0002211598020949,9606.ENSP00000276689,1
9606.ENSP00000305138,3.149700933136046e-05,9.449084245716222e-05,0.0001259876189578,0.0001259876189578,0.0001732352593535,0.0001889838458737,0.0002204795200668,0.0002362283667025,0.0002677250413398,0.0002992220379383,9606.ENSP00000276689,0
9606.ENSP00000265070,0.0002259647299069,0.000677886622725,0.0009038499556481,0.0009038499556481,0.0012427736219251,0.0013557518468587,0.0015817277380847,0.0016947056210483,0.0019206685683457,0.0021466300022439,9606.ENSP00000276689,0
9606.ENSP00000285083,3.697815373016056e-05,0.000110929735456,0.0001479060792917,0.0001479060792917,0.0002033694145211,0.0002218568588432,0.0002588348015706,0.000277322711554,0.000314298133162,0.0003512743260216,9606.ENSP00000276689,0
9606.ENSP00000312770,6.847014219601988e-06,2.0541362573567312e-05,2.738853004302655e-05,2.738853004302655e-05,3.765890573959041e-05,4.108250232093269e-05,4.792975187228876e-05,5.135326409799745e-05,5.820049591420684e-05,6.504763223347254e-05,9606.ENSP00000276689,0
