Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000037637	FBXO42	7.0		
ENSG00000037749	MFAP3	20.7		
ENSG00000037757	MRI1	8.4		
ENSG00000037897	METTL1	46.6		
ENSG00000037965	HOXC8	4.8		
ENSG00000038002	AGA	16.3		
ENSG00000038210	PI4K2B	10.9		
ENSG00000038219	BOD1L1	21.2		
ENSG00000038274	MAT2B	68.2		
ENSG00000038295	TLL1	0.4		
ENSG00000038358	EDC4	23.4		
ENSG00000038382	TRIO	23.4		
ENSG00000038427	VCAN	7.1		
ENSG00000038532	CLEC16A	10.6		
ENSG00000038945	MSR1	1.9		
ENSG00000039068	CDH1	11.3		
ENSG00000039123	MTREX	44.7		
ENSG00000039139	DNAH5	0.3		
ENSG00000039319	ZFYVE16	16.1		
ENSG00000039523	RIPOR1	26.7		
ENSG00000039537	C6	0.0		
ENSG00000039560	RAI14	74.3		
ENSG00000039600	SOX30	0.0		
ENSG00000039650	PNKP	18.7		
ENSG00000039987	BEST2	0.2		
ENSG00000040199	PHLPP2	7.4		
ENSG00000040275	SPDL1	86.1		
ENSG00000040341	STAU2	41.4		
ENSG00000040487	SLC66A1	13.4		
ENSG00000040531	CTNS	28.6		
ENSG00000040608	RTN4R	3.0		
ENSG00000040633	PHF23	77.2		
ENSG00000040731	CDH10	0.0		
ENSG00000040933	INPP4A	10.3		
ENSG00000041353	RAB27B	15.2		
ENSG00000041357	PSMA4	487.4		
ENSG00000041515	MYO16	0.0		
ENSG00000041802	LSG1	35.7		
ENSG00000041880	PARP3	6.4		
ENSG00000041982	TNC	3.2		
ENSG00000041988	THAP3	13.6		
ENSG00000042062	RIPOR3	0.0		
ENSG00000042088	TDP1	17.3		
ENSG00000042286	AIFM2	40.8		
ENSG00000042317	SPATA7	3.7		
ENSG00000042429	MED17	2.1		
ENSG00000042445	RETSAT	32.2		
ENSG00000042493	CAPG	83.4		
ENSG00000042753	AP2S1	335.3		
ENSG00000042781	USH2A	0.0		
ENSG00000042813	ZPBP	0.0		
ENSG00000042832	TG	0.0		
ENSG00000042980	ADAM28	0.3		
ENSG00000043039	BARX2	0.0		
ENSG00000043093	DCUN1D1	26.1		
ENSG00000043143	JADE2	31.3		
ENSG00000043355	ZIC2	3.7		
ENSG00000043462	LCP2	0.0		
ENSG00000043514	TRIT1	12.5		
ENSG00000043591	ADRB1	0.8		
ENSG00000044012	GUCA2B	1.5		
ENSG00000044090	CUL7	6.7		
ENSG00000044115	CTNNA1	200.9		
ENSG00000044446	PHKA2	8.7		
ENSG00000044459	CNTLN	6.3		
ENSG00000044524	EPHA3	0.0		
ENSG00000044574	HSPA5	485.8		
ENSG00000046604	DSG2	52.3		
ENSG00000046647	GEMIN8	14.4		
ENSG00000046651	OFD1	7.4		
ENSG00000046653	GPM6B	0.4		
ENSG00000046774	MAGEC2	0.0		
ENSG00000046889	PREX2	0.0		
ENSG00000047056	WDR37	6.8		
ENSG00000047188	YTHDC2	16.0		
ENSG00000047230	CTPS2	13.3		
ENSG00000047249	ATP6V1H	35.3		
ENSG00000047315	POLR2B	74.7		
ENSG00000047346	FAM214A	7.0		
ENSG00000047365	ARAP2	0.5		
ENSG00000047410	TPR	47.0		
ENSG00000047457	CP	10.1		
ENSG00000047578	KATNIP	13.2		
ENSG00000047579	DTNBP1	11.6		
ENSG00000047597	XK	1.3		
ENSG00000047617	ANO2	0.0		
ENSG00000047621	C12orf4	14.5		
ENSG00000047634	SCML1	5.8		
ENSG00000047644	WWC3	14.2		
ENSG00000047648	ARHGAP6	0.0		
ENSG00000047662	FAM184B	0.0		
ENSG00000047849	MAP4	92.2		
ENSG00000047932	GOPC	23.4		
ENSG00000047936	ROS1	0.1		
ENSG00000048028	USP28	18.8		
ENSG00000048052	HDAC9	0.1		
ENSG00000048140	TSPAN17	45.1		
ENSG00000048162	NOP16	139.9		
ENSG00000048342	CC2D2A	12.3		
ENSG00000048392	RRM2B	29.8		
ENSG00000048405	ZNF800	9.2		
ENSG00000048462	TNFRSF17	0.0		
ENSG00000048471	SNX29	2.3		
ENSG00000048540	LMO3	0.4		
ENSG00000048544	MRPS10	43.5		
ENSG00000048545	GUCA1A	0.0		
ENSG00000048649	RSF1	20.0		
ENSG00000048707	VPS13D	3.9		
ENSG00000048740	CELF2	0.0		
ENSG00000048828	FAM120A	114.2		
ENSG00000048991	R3HDM1	32.0		
ENSG00000049089	COL9A2	0.2		
ENSG00000049130	KITLG	6.9		
ENSG00000049167	ERCC8	7.9		
ENSG00000049192	ADAMTS6	0.0		
ENSG00000049239	H6PD	5.8		
ENSG00000049245	VAMP3	71.9		
ENSG00000049246	PER3	1.8		
ENSG00000049247	UTS2	0.0		
ENSG00000049249	TNFRSF9	3.2		
ENSG00000049283	EPN3	0.3		
ENSG00000049323	LTBP1	20.7		
ENSG00000049449	RCN1	182.3		
ENSG00000049540	ELN	1.0		
ENSG00000049541	RFC2	54.8		
ENSG00000049618	ARID1B	15.1		
ENSG00000049656	CLPTM1L	116.3		
ENSG00000049759	NEDD4L	24.6		
ENSG00000049768	FOXP3	0.2		
ENSG00000049769	PPP1R3F	2.9		
ENSG00000049860	HEXB	96.4		
ENSG00000049883	PTCD2	8.6		
ENSG00000050030	NEXMIF	0.0		
ENSG00000050130	JKAMP	92.9		
ENSG00000050165	DKK3	10.4		
ENSG00000050327	ARHGEF5	2.6		
ENSG00000050344	NFE2L3	6.5		
ENSG00000050393	MCUR1	8.1		
ENSG00000050405	LIMA1	23.6		
ENSG00000050426	LETMD1	16.9		
ENSG00000050438	SLC4A8	1.2		
ENSG00000050555	LAMC3	0.8		
ENSG00000050628	PTGER3	0.0		
ENSG00000050730	TNIP3	0.3		
ENSG00000050748	MAPK9	44.9		
ENSG00000050767	COL23A1	0.0		
ENSG00000050820	BCAR1	26.4		
ENSG00000051009	FAM160A2	10.7		
ENSG00000051108	HERPUD1	39.7		
ENSG00000051128	HOMER3	27.3		
ENSG00000051180	RAD51	17.6		
ENSG00000051341	POLQ	11.4		
ENSG00000051382	PIK3CB	22.5		
ENSG00000051523	CYBA	410.6		
ENSG00000051596	THOC3	48.8		
ENSG00000051620	HEBP2	9.4		
ENSG00000051825	MPHOSPH9	18.9		
ENSG00000052126	PLEKHA5	11.5		
ENSG00000052344	PRSS8	0.2		
ENSG00000052723	SIKE1	5.2		
ENSG00000052749	RRP12	43.8		
ENSG00000052795	FNIP2	3.6		
ENSG00000052802	MSMO1	33.7		
