Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000010404	IDS	5.8	4.4	High
ENSG00000010438	PRSS3	0.0	6.5	Not detected
ENSG00000010539	ZNF200	9.4	5.1	Low
ENSG00000010610	CD4	1.0	25.2	Not detected
ENSG00000010626	LRRC23	3.7	1.4	Not detected
ENSG00000010671	BTK	0.0	0.4	Not detected
ENSG00000010704	HFE	3.7	10.3	Low
ENSG00000010803	SCMH1	37.6	5.9	
ENSG00000010810	FYN	28.6	68.2	Medium
ENSG00000010818	HIVEP2	3.7	3.6	
ENSG00000010932	FMO1	0.0	0.2	Not detected
ENSG00000011007	ELOA	38.0	49.6	Medium
ENSG00000011009	LYPLA2	131.2	28.6	
ENSG00000011021	CLCN6	15.3	6.9	Not detected
ENSG00000011028	MRC2	0.0	0.0	Not detected
ENSG00000011052	NME1-NME2	26.8	0.0	Low
ENSG00000011083	SLC6A7	0.0	0.0	
ENSG00000011105	TSPAN9	27.8	30.7	Not detected
ENSG00000011114	BTBD7	3.1	18.2	Medium
ENSG00000011132	APBA3	6.4	9.8	Medium
ENSG00000011143	MKS1	15.2	5.7	Low
ENSG00000011198	ABHD5	5.4	26.3	Not detected
ENSG00000011201	ANOS1	0.0	0.0	
ENSG00000011243	AKAP8L	33.2	13.7	Medium
ENSG00000011258	MBTD1	13.6	10.1	High
ENSG00000011260	UTP18	96.6	18.4	Medium
ENSG00000011275	RNF216	22.2	12.7	Medium
ENSG00000011295	TTC19	6.5	34.9	Medium
ENSG00000011304	PTBP1	420.2	73.8	Low
ENSG00000011332	DPF1	1.8	0.0	Not detected
ENSG00000011347	SYT7	3.6	60.8	Not detected
ENSG00000011376	LARS2	17.5	7.7	Medium
ENSG00000011405	PIK3C2A	21.6	25.7	Medium
ENSG00000011422	PLAUR	4.3	0.9	Not detected
ENSG00000011426	ANLN	50.1	0.4	Not detected
ENSG00000011451	WIZ	11.4	14.6	High
ENSG00000011454	RABGAP1	23.7	13.9	Not detected
ENSG00000011465	DCN	0.7	2.2	Not detected
ENSG00000011478	QPCTL	23.9	1.4	Not detected
ENSG00000011485	PPP5C	55.9	20.3	Low
ENSG00000011523	CEP68	7.6	8.0	Medium
ENSG00000011566	MAP4K3	39.0	17.5	Not detected
ENSG00000011590	ZBTB32	0.0	0.0	Not detected
ENSG00000011600	TYROBP	0.0	24.3	Not detected
ENSG00000011638	TMEM159	7.6	0.4	Medium
ENSG00000011677	GABRA3	0.0	0.0	Not detected
ENSG00000012048	BRCA1	29.7	19.2	Low
ENSG00000012061	ERCC1	36.7	32.9	Low
ENSG00000012124	CD22	2.5	0.2	Not detected
ENSG00000012171	SEMA3B	146.3	0.8	Medium
ENSG00000012174	MBTPS2	13.7	16.9	Medium
ENSG00000012211	PRICKLE3	4.6	2.7	Not detected
ENSG00000012223	LTF	0.0	0.0	Not detected
ENSG00000012232	EXTL3	13.8	9.4	Medium
ENSG00000012504	NR1H4	36.4	110.4	
ENSG00000012660	ELOVL5	98.3	88.9	Low
ENSG00000012779	ALOX5	0.0	2.1	Not detected
ENSG00000012817	KDM5D	18.1	2.3	
ENSG00000012822	CALCOCO1	5.5	15.1	Medium
ENSG00000012963	UBR7	22.6	9.5	Low
ENSG00000012983	MAP4K5	21.5	7.9	Not detected
ENSG00000013016	EHD3	0.2	5.1	Not detected
ENSG00000013275	PSMC4	81.2	62.9	Medium
ENSG00000013288	MAN2B2	11.0	36.1	
ENSG00000013293	SLC7A14	0.0	0.4	Not detected
ENSG00000013297	CLDN11	5.9	0.6	Not detected
ENSG00000013306	SLC25A39	248.8	74.0	Not detected
ENSG00000013364	MVP	57.3	23.2	Not detected
ENSG00000013374	NUB1	30.0	43.0	Medium
ENSG00000013375	PGM3	97.6	30.4	Low
ENSG00000013392	RWDD2A	6.4	6.9	Medium
ENSG00000013441	CLK1	27.5	33.1	Medium
ENSG00000013503	POLR3B	12.0	11.1	Medium
ENSG00000013523	ANGEL1	13.9	9.3	Not detected
ENSG00000013561	RNF14	22.5	29.8	Medium
