Enesembl ID	Gene	RNA line ab	RNA type ab	protein type ab
ENSG00000038295	TLL1	0.2		
ENSG00000038358	EDC4	43.1		
ENSG00000038382	TRIO	6.5		
ENSG00000038427	VCAN	0.4		
ENSG00000038532	CLEC16A	11.6		
ENSG00000038945	MSR1	0.7		
ENSG00000039068	CDH1	0.0		
ENSG00000039123	MTREX	76.8		
ENSG00000039139	DNAH5	0.0		
ENSG00000039319	ZFYVE16	17.2		
ENSG00000039523	RIPOR1	32.7		
ENSG00000039537	C6	0.0		
ENSG00000039560	RAI14	64.0		
ENSG00000039600	SOX30	0.0		
ENSG00000039650	PNKP	6.1		
ENSG00000039987	BEST2	0.0		
ENSG00000040199	PHLPP2	12.1		
ENSG00000040275	SPDL1	56.8		
ENSG00000040341	STAU2	44.5		
ENSG00000040487	SLC66A1	13.7		
ENSG00000040531	CTNS	19.8		
ENSG00000040608	RTN4R	1.4		
ENSG00000040633	PHF23	81.1		
ENSG00000040731	CDH10	4.6		
ENSG00000040933	INPP4A	12.6		
ENSG00000041353	RAB27B	0.2		
ENSG00000041357	PSMA4	669.1		
ENSG00000041515	MYO16	0.0		
ENSG00000041802	LSG1	68.2		
ENSG00000041880	PARP3	5.0		
ENSG00000041982	TNC	0.0		
ENSG00000041988	THAP3	17.9		
ENSG00000042062	RIPOR3	0.0		
ENSG00000042088	TDP1	18.2		
ENSG00000042286	AIFM2	12.7		
ENSG00000042317	SPATA7	2.5		
ENSG00000042429	MED17	2.5		
ENSG00000042445	RETSAT	22.9		
ENSG00000042493	CAPG	0.2		
ENSG00000042753	AP2S1	144.9		
ENSG00000042781	USH2A	0.0		
ENSG00000042813	ZPBP	0.0		
ENSG00000042832	TG	0.0		
ENSG00000042980	ADAM28	0.0		
ENSG00000043039	BARX2	0.0		
ENSG00000043093	DCUN1D1	27.6		
ENSG00000043143	JADE2	6.4		
ENSG00000043355	ZIC2	3.9		
ENSG00000043462	LCP2	0.0		
ENSG00000043514	TRIT1	29.4		
ENSG00000043591	ADRB1	0.1		
ENSG00000044012	GUCA2B	0.0		
ENSG00000044090	CUL7	9.9		
ENSG00000044115	CTNNA1	165.9		
ENSG00000044446	PHKA2	11.0		
ENSG00000044459	CNTLN	14.1		
ENSG00000044524	EPHA3	6.6		
ENSG00000044574	HSPA5	403.3		
ENSG00000046604	DSG2	54.7		
ENSG00000046647	GEMIN8	10.7		
ENSG00000046651	OFD1	7.5		
ENSG00000046653	GPM6B	7.6		
ENSG00000046774	MAGEC2	0.0		
ENSG00000046889	PREX2	4.0		
ENSG00000047056	WDR37	6.1		
ENSG00000047188	YTHDC2	22.0		
ENSG00000047230	CTPS2	28.9		
ENSG00000047249	ATP6V1H	52.6		
ENSG00000047315	POLR2B	140.5		
ENSG00000047346	FAM214A	5.0		
ENSG00000047365	ARAP2	1.3		
ENSG00000047410	TPR	51.9		
ENSG00000047457	CP	0.2		
ENSG00000047578	KATNIP	9.7		
ENSG00000047579	DTNBP1	21.8		
ENSG00000047597	XK	15.4		
ENSG00000047617	ANO2	0.0		
ENSG00000047621	C12orf4	19.0		
ENSG00000047634	SCML1	25.4		
ENSG00000047644	WWC3	5.3		
ENSG00000047648	ARHGAP6	0.9		
ENSG00000047662	FAM184B	0.0		
ENSG00000047849	MAP4	151.4		
ENSG00000047932	GOPC	37.2		
ENSG00000047936	ROS1	0.0		
ENSG00000048028	USP28	37.9		
ENSG00000048052	HDAC9	163.6		
ENSG00000048140	TSPAN17	15.9		
ENSG00000048162	NOP16	162.7		
ENSG00000048342	CC2D2A	13.1		
ENSG00000048392	RRM2B	15.1		
ENSG00000048405	ZNF800	15.7		
ENSG00000048462	TNFRSF17	0.0		
ENSG00000048471	SNX29	2.9		
ENSG00000048540	LMO3	4.8		
ENSG00000048544	MRPS10	60.3		
ENSG00000048545	GUCA1A	0.0		
ENSG00000048649	RSF1	36.8		
ENSG00000048707	VPS13D	10.1		
ENSG00000048740	CELF2	6.8		
ENSG00000048828	FAM120A	86.5		
ENSG00000048991	R3HDM1	55.6		
ENSG00000049089	COL9A2	0.1		
ENSG00000049130	KITLG	11.5		
ENSG00000049167	ERCC8	10.6		
ENSG00000049192	ADAMTS6	0.1		
ENSG00000049239	H6PD	1.8		
ENSG00000049245	VAMP3	75.2		
ENSG00000049246	PER3	22.1		
ENSG00000049247	UTS2	0.0		
ENSG00000049249	TNFRSF9	0.0		
ENSG00000049283	EPN3	0.0		
ENSG00000049323	LTBP1	0.7		
ENSG00000049449	RCN1	118.0		
ENSG00000049540	ELN	0.0		
ENSG00000049541	RFC2	53.3		
ENSG00000049618	ARID1B	25.2		
ENSG00000049656	CLPTM1L	53.7		
ENSG00000049759	NEDD4L	19.5		
ENSG00000049768	FOXP3	0.8		
ENSG00000049769	PPP1R3F	0.9		
ENSG00000049860	HEXB	43.2		
ENSG00000049883	PTCD2	9.5		
ENSG00000050030	NEXMIF	3.7		
ENSG00000050130	JKAMP	41.2		
ENSG00000050165	DKK3	1.5		
ENSG00000050327	ARHGEF5	0.0		
ENSG00000050344	NFE2L3	6.0		
ENSG00000050393	MCUR1	21.5		
ENSG00000050405	LIMA1	42.8		
ENSG00000050426	LETMD1	25.8		
ENSG00000050438	SLC4A8	4.7		
ENSG00000050555	LAMC3	0.3		
ENSG00000050628	PTGER3	20.9		
ENSG00000050730	TNIP3	0.0		
ENSG00000050748	MAPK9	38.4		
ENSG00000050767	COL23A1	0.0		
ENSG00000050820	BCAR1	6.1		
ENSG00000051009	FAM160A2	9.2		
ENSG00000051108	HERPUD1	51.0		
ENSG00000051128	HOMER3	18.4		
ENSG00000051180	RAD51	56.6		
ENSG00000051341	POLQ	12.2		
ENSG00000051382	PIK3CB	15.1		
ENSG00000051523	CYBA	21.4		
ENSG00000051596	THOC3	71.6		
ENSG00000051620	HEBP2	13.2		
ENSG00000051825	MPHOSPH9	30.3		
ENSG00000052126	PLEKHA5	30.8		
ENSG00000052344	PRSS8	0.1		
ENSG00000052723	SIKE1	24.3		
ENSG00000052749	RRP12	36.3		
ENSG00000052795	FNIP2	18.4		
ENSG00000052802	MSMO1	101.6		
